analysis,removed,status,model_id,model,main_rank,scenario_rank,rank_change,scenario_score
LOFO,GPQA Diamond,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,79.2940087994032
LOFO,GPQA Diamond,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,2,0,75.31501083556651
LOFO,GPQA Diamond,OK,kimi_k3_max,Kimi K3 (max reasoning),3,3,0,51.31524115577318
LOFO,GPQA Diamond,OK,qwen3_8_max,Qwen3.8-Max,5,4,-1,45.75152258114527
LOFO,GPQA Diamond,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,5,1,45.10244457132248
LOFO,GPQA Diamond,OK,claude_opus_4_8_max,Claude Opus 4.8 (max),7,6,-1,31.944232797386714
LOFO,GPQA Diamond,OK,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,7,-1,30.8363273622124
LOFO,GPQA Diamond,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,8,2,30.143939046531024
LOFO,GPQA Diamond,OK,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,9,9,0,11.296238122086494
LOFO,LiveBench Logic,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,70.2048146446142
LOFO,LiveBench Logic,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,2,0,58.41861145360015
LOFO,LiveBench Logic,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,3,-1,56.55244683876086
LOFO,LiveBench Logic,OK,kimi_k3_max,Kimi K3 (max reasoning),3,4,1,47.181550785902104
LOFO,LiveBench Logic,OK,qwen3_8_max,Qwen3.8-Max,5,5,0,40.35800361669218
LOFO,LiveBench Logic,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,6,0,33.814795534729946
LOFO,LiveBench Logic,OK,claude_opus_4_8_max,Claude Opus 4.8 (max),7,7,0,33.70302244743902
LOFO,LiveBench Logic,OK,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,8,0,26.063301797795532
LOFO,LiveBench Logic,OK,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,9,9,0,11.339041134391099
LOFO,LiveBench Math,OK,gpt_5_6_sol_max,GPT-5.6 Sol (max),1,1,0,79.5564796610154
LOFO,LiveBench Math,OK,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,2,0,66.28076070637863
LOFO,LiveBench Math,OK,kimi_k3_max,Kimi K3 (max reasoning),3,3,0,58.25519039428937
LOFO,LiveBench Math,OK,gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,4,0,51.4006304788641
LOFO,LiveBench Math,OK,qwen3_8_max,Qwen3.8-Max,5,5,0,47.188444539115594
LOFO,LiveBench Math,OK,gpt_5_5_xhigh,GPT-5.5 (xhigh),6,6,0,38.983640770838115
LOFO,LiveBench Math,OK,claude_opus_4_8_max,Claude Opus 4.8 (max),7,7,0,32.64501429207677
LOFO,LiveBench Math,OK,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,8,0,29.480941962561076
