model_id,model_name,model_base_name,model_setting,scenario,scenario_code,scenario_name,utility,utility_rank,utility_normalization,q2_method,source_version
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Research,Research,科研长文本分析,0.9183374822531004,1,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Research,Research,科研长文本分析,0.9012926282950031,2,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Research,Research,科研长文本分析,0.8992413504614967,3,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Research,Research,科研长文本分析,0.8861624515886894,4,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Research,Research,科研长文本分析,0.8794135287469893,5,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Research,Research,科研长文本分析,0.8777936799153787,6,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Research,Research,科研长文本分析,0.8397485755751156,7,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Research,Research,科研长文本分析,0.8335860041360706,8,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Research,Research,科研长文本分析,0.8281204723179951,9,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Research,Research,科研长文本分析,0.8272893300307572,10,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",General,General,大众日常通用对话,0.932418708623976,1,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,General,General,大众日常通用对话,0.932145427852394,2,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,General,General,大众日常通用对话,0.8687069582921643,3,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,General,General,大众日常通用对话,0.8661586954130576,4,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,General,General,大众日常通用对话,0.8383797086565321,5,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,General,General,大众日常通用对话,0.8383394649502275,6,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,General,General,大众日常通用对话,0.837174749199171,7,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,General,General,大众日常通用对话,0.6542860728359404,8,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,General,General,大众日常通用对话,0.6481379677469584,9,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,General,General,大众日常通用对话,0.6468756848029605,10,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
kimi_k3_max,Kimi K3 (max reasoning),Kimi K3,max reasoning,Coding,Coding,计算机代码开发,0.9813020054113565,1,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5,"max, with fallback",Coding,Coding,计算机代码开发,0.9762038301568621,2,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek-V4-Pro,Max,Coding,Coding,计算机代码开发,0.9610626303156368,3,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol,max,Coding,Coding,计算机代码开发,0.9512731717446156,4,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini-3.1-Pro,High,Coding,Coding,计算机代码开发,0.9259813234950288,5,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
qwen3_8_max,Qwen3.8-Max,Qwen3.8,Max,Coding,Coding,计算机代码开发,0.9257001776879481,6,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8,max,Coding,Coding,计算机代码开发,0.9163907203396128,7,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5,xhigh,Coding,Coding,计算机代码开发,0.9025140728523974,8,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
glm_5_2_max,GLM-5.2 (max),GLM-5.2,max,Coding,Coding,计算机代码开发,0.8587896658995123,9,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek-V4-Flash,Max,Coding,Coding,计算机代码开发,0.8155773752485842,10,dimensionwise max-normalized BT latent strength; scene-specific CES scale; within-scene comparison only,KL minimum-information shift + CES capability complementarity,Q2_SCENARIO_UTILITY_v1.0
