model_id,model,dimension,raw_q1_score,raw_q1_theta,C5_status,z_primary_latent_strength,dimension_theta_max,expected_z_primary,primary_abs_error,primary_is_finite,primary_is_strictly_positive,z_score_floor_delta_0.100,z_score_floor_delta_0.150,z_score_floor_delta_0.200,z_score_floor_delta_0.250,z_score_floor_delta_0.300,structural_note
kimi_k3_max,Kimi K3 (max reasoning),C1,80.22246611688637,0.0235753904598882,NOT_APPLICABLE,0.9743876618946118,0.0495214348257841,0.9743876618946118,0.0,True,True,0.8220021950519774,0.8318909619935342,0.841779728935091,0.8516684958766477,0.8615572628182044,observed/estimable ability
kimi_k3_max,Kimi K3 (max reasoning),C2,46.25746211394311,0.0289737318775154,NOT_APPLICABLE,0.8503164200401073,0.1911204717757186,0.8503164200401073,0.0,True,True,0.516317159025488,0.5431884279685165,0.5700596969115449,0.5969309658545734,0.6238022347976018,observed/estimable ability
kimi_k3_max,Kimi K3 (max reasoning),C3,66.36155480567838,0.0552972263501986,NOT_APPLICABLE,0.8822637961201153,0.1805614054720557,0.8822637961201153,0.0,True,True,0.6972539932511054,0.7140732158482662,0.7308924384454272,0.7477116610425878,0.7645308836397486,observed/estimable ability
kimi_k3_max,Kimi K3 (max reasoning),C4,93.7799430615481,0.0858227701044477,NOT_APPLICABLE,0.9850520434039849,0.1008835733671333,0.9850520434039849,0.0,True,True,0.944019487553933,0.9471295160231589,0.9502395444923848,0.9533495729616106,0.9564596014308366,observed/estimable ability
kimi_k3_max,Kimi K3 (max reasoning),C5,34.56856016386749,-0.0358737862939925,ESTIMABLE,0.8045671640373981,0.1815770442992809,0.8045671640373981,0.0,True,True,0.41111704147480743,0.44383276139287364,0.4765484813109399,0.5092642012290062,0.5419799211470724,observed/estimable ability
gpt_5_6_sol_max,GPT-5.6 Sol (max),C1,80.61841813896953,0.0240948378688752,NOT_APPLICABLE,0.9748939365210695,0.0495214348257841,0.9748939365210695,0.0,True,True,0.8255657632507258,0.835256554181241,0.8449473451117562,0.8546381360422715,0.8643289269727867,observed/estimable ability
gpt_5_6_sol_max,GPT-5.6 Sol (max),C2,59.35824195831793,0.0685001261537445,NOT_APPLICABLE,0.8845994408674602,0.1911204717757186,0.8845994408674602,0.0,True,True,0.6342241776248614,0.6545450566457024,0.6748659356665435,0.6951868146873845,0.7155076937082254,observed/estimable ability
gpt_5_6_sol_max,GPT-5.6 Sol (max),C3,54.027946711038894,0.0093688463474716,NOT_APPLICABLE,0.8426592961117463,0.1805614054720557,0.8426592961117463,0.0,True,True,0.58625152039935,0.6092375470438306,0.6322235736883113,0.6552096003327916,0.6781956269772722,observed/estimable ability
gpt_5_6_sol_max,GPT-5.6 Sol (max),C4,73.95492598314146,0.0378198844634077,NOT_APPLICABLE,0.9388836753129004,0.1008835733671333,0.9388836753129004,0.0,True,True,0.7655943338482731,0.7786168708567024,0.7916394078651317,0.804661944873561,0.8176844818819902,observed/estimable ability
gpt_5_6_sol_max,GPT-5.6 Sol (max),C5,100.0,0.1815770442992809,ESTIMABLE,1.0,0.1815770442992809,1.0,0.0,True,True,1.0,1.0,1.0,1.0,1.0,observed/estimable ability
gpt_5_5_xhigh,GPT-5.5 (xhigh),C1,88.99815616050248,0.0350881728198479,NOT_APPLICABLE,0.9856703982025471,0.0495214348257841,0.9856703982025471,0.0,True,True,0.9009834054445223,0.906484327364271,0.9119852492840199,0.9174861712037685,0.9229870931235173,observed/estimable ability
gpt_5_5_xhigh,GPT-5.5 (xhigh),C2,36.467209580040624,-0.0005644625136405,NOT_APPLICABLE,0.8255669353536246,0.1911204717757186,0.8255669353536246,0.0,True,True,0.4282048862203657,0.45997128143034527,0.491737676640325,0.5235040718503047,0.5552704670602844,observed/estimable ability
gpt_5_5_xhigh,GPT-5.5 (xhigh),C3,57.73101758009519,0.0231584888224068,NOT_APPLICABLE,0.8543597536896572,0.1805614054720557,0.8543597536896572,0.0,True,True,0.6195791582208567,0.6407136494308091,0.6618481406407616,0.682982631850714,0.7041171230606663,observed/estimable ability
gpt_5_5_xhigh,GPT-5.5 (xhigh),C4,38.55644871890536,-0.0478914694921397,NOT_APPLICABLE,0.8617629528253801,0.1008835733671333,0.8617629528253801,0.0,True,True,0.44700803847014825,0.4777298141106955,0.5084515897512429,0.5391733653917902,0.5698951410323374,observed/estimable ability
