model_id,model_name,scenario,utility
kimi_k3_max,Kimi K3 (max reasoning),Research,
gpt_5_6_sol_max,GPT-5.6 Sol (max),Research,
gpt_5_5_xhigh,GPT-5.5 (xhigh),Research,
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Research,
claude_opus_4_8_max,Claude Opus 4.8 (max),Research,
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Research,
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,Research,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,Research,
qwen3_8_max,Qwen3.8-Max,Research,
glm_5_2_max,GLM-5.2 (max),Research,
kimi_k3_max,Kimi K3 (max reasoning),General,
gpt_5_6_sol_max,GPT-5.6 Sol (max),General,
gpt_5_5_xhigh,GPT-5.5 (xhigh),General,
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",General,
claude_opus_4_8_max,Claude Opus 4.8 (max),General,
gemini_3_1_pro_high,Gemini-3.1-Pro (High),General,
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,General,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,General,
qwen3_8_max,Qwen3.8-Max,General,
glm_5_2_max,GLM-5.2 (max),General,
kimi_k3_max,Kimi K3 (max reasoning),Coding,
gpt_5_6_sol_max,GPT-5.6 Sol (max),Coding,
gpt_5_5_xhigh,GPT-5.5 (xhigh),Coding,
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Coding,
claude_opus_4_8_max,Claude Opus 4.8 (max),Coding,
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Coding,
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,Coding,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,Coding,
qwen3_8_max,Qwen3.8-Max,Coding,
glm_5_2_max,GLM-5.2 (max),Coding,
