rank,model_id,model,overall_score,effective_weight_coverage,number_of_available_dimensions,C1 Complex reasoning_score,C2 Knowledge and factual reliability_score,C3 Long context_score,C4 Code and software engineering_score,C5 Multimodal_score,bootstrap
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),75.80111189670542,0.9999999999999998,5,87.43071375599492,59.35824195831793,54.027946711038894,70.8860321411982,100.0,1
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.55887369582865,0.9999999999999998,5,41.68624215510983,100.0,51.06282352003342,100.0,61.41143677202628,1
3,kimi_k3_max,Kimi K3 (max reasoning),48.12124052474903,0.9999999999999998,5,62.98964323083406,46.25746211394311,66.36155480567838,87.70470184307126,34.56856016386749,1
4,gemini_3_1_pro_high,Gemini-3.1-Pro (High),42.28950020502699,0.9999999999999998,5,96.78478638546468,41.061524078229155,0.0,47.89088963203741,59.50518071798478,1
5,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,39.54433635019655,0.6010430110492647,4,0.0,0.0,100.0,88.17769834795749,,1
6,qwen3_8_max,Qwen3.8-Max,38.102135473815956,0.9999999999999998,5,44.121074702447665,11.368579925920463,44.43634483658853,54.374354639741085,55.081950858103056,1
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),29.087237077478463,0.9999999999999998,5,66.56692134867367,36.467209580040624,57.73101758009519,35.413891868922654,6.974308690462572,1
8,claude_opus_4_8_max,Claude Opus 4.8 (max),27.20175044231327,0.9999999999999998,5,100.0,45.609972782355385,40.818908559372474,40.54606192019395,0.0,1
9,glm_5_2_max,GLM-5.2 (max),24.881587712390953,0.6010430110492647,4,57.58205964654241,9.803510167641388,51.06282352003342,19.92244731941566,,1
10,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,24.625229822032036,0.6010430110492647,4,3.2897277549202157,16.61647141654705,49.61894570159547,0.0,,1
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",75.00515121320592,1.0,5,18.30481337088561,100.0,51.06282352003342,100.0,61.41143677202628,2
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),72.92245444413219,1.0,5,61.28796055453746,59.35824195831793,54.027946711038894,71.29913620180392,100.0,2
3,kimi_k3_max,Kimi K3 (max reasoning),49.97581788904457,1.0,5,74.1628862684157,46.25746211394311,66.36155480567838,93.09716557439228,34.56856016386749,2
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,41.288329113254704,0.6586131253194049,4,28.24734332964486,0.0,100.0,92.54368837765337,,2
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),40.311456939267664,1.0,5,83.29536157908024,41.061524078229155,0.0,50.763179986068735,59.50518071798478,2
6,qwen3_8_max,Qwen3.8-Max,37.27472461714494,1.0,5,43.80695957368754,11.368579925920463,44.43634483658853,65.96307833060483,55.081950858103056,2
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),31.901522532884627,1.0,5,89.92383634336967,36.467209580040624,57.73101758009519,36.472739339121034,6.974308690462572,2
8,claude_opus_4_8_max,Claude Opus 4.8 (max),30.021478171593937,1.0,5,100.0,45.609972782355385,40.818908559372474,43.527793570366136,0.0,2
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,24.903368906799905,0.6586131253194049,4,0.0,16.61647141654705,49.61894570159547,0.0,,2
10,glm_5_2_max,GLM-5.2 (max),24.382401611664452,0.6586131253194049,4,20.712175978258283,9.803510167641388,51.06282352003342,22.692452191442264,,2
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),76.45453856001885,1.0,5,98.33177317486306,59.35824195831793,54.027946711038894,70.33404263228587,100.0,3
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",73.68041796441103,1.0,5,67.3751558666157,100.0,51.06282352003342,100.0,61.41143677202628,3
3,kimi_k3_max,Kimi K3 (max reasoning),48.59324507754044,1.0,5,93.94819666498779,46.25746211394311,66.36155480567838,93.2288283917618,34.56856016386749,3
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,44.027137582175705,0.5800909836689927,4,28.59965358918516,0.0,100.0,93.25494763592305,,3
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),41.98880503748043,1.0,5,100.0,41.061524078229155,0.0,52.34029956189466,59.50518071798478,3
6,qwen3_8_max,Qwen3.8-Max,40.01658063495549,1.0,5,66.19377816596521,11.368579925920463,44.43634483658853,65.11309178629105,55.081950858103056,3
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),28.932740945499223,1.0,5,86.6774834658978,36.467209580040624,57.73101758009519,36.91687960313615,6.974308690462572,3
8,glm_5_2_max,GLM-5.2 (max),26.256120079824647,0.5800909836689927,4,53.743201628177246,9.803510167641388,51.06282352003342,24.168186728630925,,3
9,claude_opus_4_8_max,Claude Opus 4.8 (max),25.95741345299792,1.0,5,91.55486779735703,45.609972782355385,40.818908559372474,43.9488668453068,0.0,3
10,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.950080088074312,0.5800909836689927,4,0.0,16.61647141654705,49.61894570159547,0.0,,3
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),76.43396768504704,1.0,5,98.33177317486309,59.35824195831793,54.027946711038894,70.09637031575595,100.0,4
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",73.70949131430069,1.0,5,67.37515586661571,100.0,51.06282352003342,100.0,61.41143677202628,4
3,kimi_k3_max,Kimi K3 (max reasoning),48.49449820721141,1.0,5,93.9481966649878,46.25746211394311,66.36155480567838,90.68082014456309,34.56856016386749,4
4,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,43.929236589996435,0.580554826967762,4,28.59965358918516,0.0,100.0,91.34091464145625,,4
5,gemini_3_1_pro_high,Gemini-3.1-Pro (High),41.92716084726747,1.0,5,100.0,41.061524078229155,0.0,51.08260297398917,59.50518071798478,4
6,qwen3_8_max,Qwen3.8-Max,39.650096323453006,1.0,5,66.19377816596521,11.368579925920463,44.43634483658853,58.32873409992002,55.081950858103056,4
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),28.929916664443585,1.0,5,86.6774834658978,36.467209580040624,57.73101758009519,36.716488241198384,6.974308690462572,4
8,glm_5_2_max,GLM-5.2 (max),26.161512673322715,0.580554826967762,4,53.743201628177246,9.803510167641388,51.06282352003342,23.262615885640553,,4
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.900704583257216,0.580554826967762,4,0.0,16.61647141654705,49.61894570159547,0.0,,4
10,claude_opus_4_8_max,Claude Opus 4.8 (max),25.838872995249403,1.0,5,91.55486779735703,45.609972782355385,40.818908559372474,41.56673468505836,0.0,4
1,gpt_5_6_sol_max,GPT-5.6 Sol (max),76.95433580907653,1.0,5,93.01428258893174,59.35824195831793,54.027946711038894,72.6724865084461,100.0,5
2,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",74.03469653686284,1.0,5,73.87142005884398,100.0,51.06282352003342,100.0,61.41143677202628,5
3,kimi_k3_max,Kimi K3 (max reasoning),47.89830209823772,1.0,5,79.0793531889838,46.25746211394311,66.36155480567838,91.34796878888437,34.56856016386749,5
4,gemini_3_1_pro_high,Gemini-3.1-Pro (High),42.71708720625364,1.0,5,100.0,41.061524078229155,0.0,52.919221044863626,59.50518071798478,5
5,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,42.47475929907486,0.570990018530508,4,43.27700768182007,0.0,100.0,91.94846550264513,,5
6,qwen3_8_max,Qwen3.8-Max,39.452695318126786,1.0,5,75.04582300196253,11.368579925920463,44.43634483658853,54.55673462534846,55.081950858103056,5
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),28.416711406684115,1.0,5,79.86350142687809,36.467209580040624,57.73101758009519,38.732235748864994,6.974308690462572,5
8,claude_opus_4_8_max,Claude Opus 4.8 (max),25.54822373708626,1.0,5,90.40113736144633,45.609972782355385,40.818908559372474,43.02713479698182,0.0,5
9,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,25.379178699294567,0.570990018530508,4,0.0,16.61647141654705,49.61894570159547,0.0,,5
10,glm_5_2_max,GLM-5.2 (max),25.230639153841903,0.570990018530508,4,35.438242896904335,9.803510167641388,51.06282352003342,24.658665345652263,,5
1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",75.38518587424353,1.0,5,43.79836971729794,100.0,51.06282352003342,100.0,61.41143677202628,6
2,gpt_5_6_sol_max,GPT-5.6 Sol (max),74.5004390457102,1.0,5,87.26783635932216,59.35824195831793,54.027946711038894,72.94746339117053,100.0,6
3,kimi_k3_max,Kimi K3 (max reasoning),49.455415168117185,1.0,5,95.3923112923069,46.25746211394311,66.36155480567838,90.9363129826852,34.56856016386749,6
4,gemini_3_1_pro_high,Gemini-3.1-Pro (High),41.26433524374892,1.0,5,96.236478030628,41.061524078229155,0.0,52.351932756921215,59.50518071798478,6
5,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,40.72976654532096,0.6326591489299637,4,22.805436598887663,0.0,100.0,90.99065749092158,,6
6,qwen3_8_max,Qwen3.8-Max,37.55692732511815,1.0,5,54.187807440451735,11.368579925920463,44.43634483658853,58.86717312460386,55.081950858103056,6
7,gpt_5_5_xhigh,GPT-5.5 (xhigh),30.727308125785157,1.0,5,95.03587789253072,36.467209580040624,57.73101758009519,37.51747917843029,6.974308690462572,6
