model_id,model_name,api_model,sku_mapping_status,reasoning_setting,config_mapping_status,input_price,output_price,price_unit,pricing_status,fallback_issue,official_source,confidence,human_verified
kimi_k3_max,Kimi K3 (max reasoning),kimi-k3,EXACT,reasoning_effort=max,SUPPORTED_CONFIG,2.9675,14.8375,USD / 1M billable tokens,READY,FALSE,https://platform.kimi.com/docs/pricing/chat-k3.md,high,FALSE
gpt_5_6_sol_max,GPT-5.6 Sol (max),gpt-5.6-sol,EXACT,reasoning.effort=max,SUPPORTED_CONFIG,5.0000,30.0000,USD / 1M billable tokens,READY,FALSE,https://developers.openai.com/api/docs/models/gpt-5.6-sol,high,FALSE
gpt_5_5_xhigh,GPT-5.5 (xhigh),gpt-5.5,EXACT,reasoning.effort=xhigh,SUPPORTED_CONFIG,5.0000,30.0000,USD / 1M billable tokens,READY,FALSE,https://developers.openai.com/api/docs/models/gpt-5.5,high,FALSE
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",claude-fable-5,EXACT,adaptive thinking or benchmark max effort with fallback,FALLBACK_DEPENDENT,10.0000,50.0000,USD / 1M billable tokens,SPECIAL_CASE,TRUE,https://docs.anthropic.com/en/docs/about-claude/pricing,medium,FALSE
claude_opus_4_8_max,Claude Opus 4.8 (max),claude-opus-4-8,EXACT,effort=max requested by benchmark,SUPPORTED_CONFIG,5.0000,25.0000,USD / 1M billable tokens,READY,FALSE,https://docs.anthropic.com/en/docs/about-claude/pricing,medium,FALSE
gemini_3_1_pro_high,Gemini-3.1-Pro (High),gemini-3.1-pro-preview,EXACT,thinking_level=high,SUPPORTED_CONFIG,2.0000,12.0000,USD / 1M billable tokens,READY,FALSE,https://ai.google.dev/gemini-api/docs/pricing,high,FALSE
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,deepseek-v4-pro,EXACT,thinking mode default or enabled,SUPPORTED_CONFIG,1.3200,3.9600,USD / 1M billable tokens,READY,FALSE,https://api-docs.deepseek.com/quick_start/pricing,high,FALSE
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,deepseek-v4-flash,EXACT,thinking mode default or enabled,SUPPORTED_CONFIG,0.4400,1.3200,USD / 1M billable tokens,READY,FALSE,https://api-docs.deepseek.com/quick_start/pricing,high,FALSE
qwen3_8_max,Qwen3.8-Max,qwen3.8-max,EXACT,thinking or non-thinking mode under same SKU,SUPPORTED_CONFIG,1.7805,5.3415,USD / 1M billable tokens,READY,FALSE,https://help.aliyun.com/zh/model-studio/model-pricing,high,FALSE
glm_5_2_max,GLM-5.2 (max),glm-5.2,EXACT,reasoning_effort=max,SUPPORTED_CONFIG,NA,NA,USD / 1M billable tokens,MISSING,FALSE,https://docs.bigmodel.cn/cn/guide/models/text/glm-5.2.md,medium,FALSE
