model_id,model,C1_score,C2_score,C3_score,C4_score,C5_BT_score,C5_effective_score,C1_theta,C2_theta,C3_theta,C4_theta,C5_theta,multimodal_capable,C5_status,ranking_A,ranking_B,ranking_C,ranking_A_score,ranking_B_score,ranking_C_score,Q1_bootstrap_rank_low,Q1_bootstrap_rank_high,C1_evidence_note,C2_evidence_note,C3_evidence_note,C4_evidence_note,C5_evidence_note
kimi_k3_max,Kimi K3 (max reasoning),80.22246611688637,46.25746211394311,66.36155480567838,93.7799430615481,34.56856016386749,34.56856016386749,0.023575390459888254,0.028973731877515417,0.055297226350198604,0.08582277010444776,-0.03587378629399259,True,ESTIMABLE,3,2,3,53.71951005579109,67.47506091725245,50.1548937015005,1.0,10.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none","HIGH; observed: AA-Omniscience, Humanity's Last Exam; missing: none","MEDIUM; observed: AA-LCR; missing: CorpusQA, MRCR","HIGH; observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified","HIGH; observed: MMMU-Pro, MathVision; missing: none"
gpt_5_6_sol_max,GPT-5.6 Sol (max),80.61841813896953,59.35824195831793,54.027946711038894,73.95492598314146,100.0,100.0,0.024094837868875268,0.06850012615374458,0.00936884634747162,0.0378198844634077,0.18157704429928098,True,ESTIMABLE,1,3,1,80.49837465220403,65.98955887059607,77.42963291795185,1.0,9.0,"MEDIUM; observed: LiveBench Logic, LiveBench Math; missing: GPQA Diamond","HIGH; observed: AA-Omniscience, Humanity's Last Exam; missing: none","MEDIUM; observed: AA-LCR; missing: CorpusQA, MRCR","HIGH; observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified","HIGH; observed: MMMU-Pro, MathVision; missing: none"
gpt_5_5_xhigh,GPT-5.5 (xhigh),88.99815616050248,36.467209580040624,57.73101758009519,38.55644871890536,6.974308690462572,6.974308690462572,0.0350881728198479,-0.0005644625136405263,0.02315848882240687,-0.04789146949213971,-0.127578827746833,True,ESTIMABLE,6,5,6,33.485069123391845,52.171843407145545,30.89316590497225,1.0,10.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none",MEDIUM; observed: Humanity's Last Exam; missing: AA-Omniscience,"MEDIUM; observed: AA-LCR; missing: CorpusQA, MRCR","HIGH; observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified","HIGH; observed: MMMU-Pro, MathVision; missing: none"
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",48.008362427373925,100.0,51.06282352003342,100.0,61.41143677202628,61.41143677202628,-0.01868612548418522,0.19112047177571867,-0.001672797235364975,0.10088357336713336,0.05333418205539982,True,ESTIMABLE,2,1,2,70.82244404278597,79.57704113099587,67.17235405860113,1.0,9.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none","HIGH; observed: AA-Omniscience, Humanity's Last Exam; missing: none","MEDIUM; observed: AA-LCR; missing: CorpusQA, MRCR","HIGH; observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified",MEDIUM; observed: MathVision; missing: MMMU-Pro
claude_opus_4_8_max,Claude Opus 4.8 (max),100.0,45.609972782355385,40.818908559372474,45.03215040211417,0.0,0.0,0.04952143482578415,0.027020190262893345,-0.039819494894206726,-0.03221166623572066,-0.15075681712553368,True,ESTIMABLE,7,4,7,32.455631118534825,56.1716927717902,25.237302011171632,1.0,10.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none",MEDIUM; observed: Humanity's Last Exam; missing: AA-Omniscience,"MEDIUM; observed: AA-LCR; missing: CorpusQA, MRCR","HIGH; observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified",MEDIUM; observed: MathVision; missing: MMMU-Pro
gemini_3_1_pro_high,Gemini-3.1-Pro (High),95.97204269870555,41.061524078229155,0.0,52.65716561941289,59.50518071798478,59.50518071798478,0.044237178484170595,0.013297054773238354,-0.19182256887109406,-0.013748996970943492,0.04699904770235941,True,ESTIMABLE,4,6,5,52.2760274218932,47.412425030800634,39.699167177550144,1.0,10.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none",MEDIUM; observed: Humanity's Last Exam; missing: AA-Omniscience,"HIGH; observed: AA-LCR, CorpusQA, MRCR; missing: none","MEDIUM; observed: LiveBench Coding; missing: FrontierSWE, ProgramBench, SWE-bench Verified",MEDIUM; observed: MMMU-Pro; missing: MathVision
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,37.365299588477896,0.0,100.0,93.16282004904058,,0.0,-0.0326487045518814,-0.11058976796394768,0.1805614054720557,0.08432851235532739,,False,STRUCTURAL_CAPABILITY_ABSENCE,8,7,,28.141755092885656,46.92168073560302,,4.0,10.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none","HIGH; observed: AA-Omniscience, Humanity's Last Exam; missing: none","HIGH; observed: AA-LCR, CorpusQA, MRCR; missing: none","MEDIUM; observed: LiveBench Coding, SWE-bench Verified; missing: FrontierSWE, ProgramBench","LOW; observed: none; missing: MMMU-Pro, MathVision"
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,0.0,16.61647141654705,49.61894570159547,0.0,,0.0,-0.08166804774185302,-0.06045617221681044,-0.0070495668403233675,-0.14124931081244554,,False,STRUCTURAL_CAPABILITY_ABSENCE,10,10,,9.503667165920382,15.823376203109998,,5.0,10.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none",MEDIUM; observed: Humanity's Last Exam; missing: AA-Omniscience,"HIGH; observed: AA-LCR, CorpusQA, MRCR; missing: none","MEDIUM; observed: LiveBench Coding, SWE-bench Verified; missing: FrontierSWE, ProgramBench","LOW; observed: none; missing: MMMU-Pro, MathVision"
qwen3_8_max,Qwen3.8-Max,62.030463835309725,11.368579925920463,44.43634483658853,62.073248468298715,55.081950858103056,55.081950858103056,-0.00029060320200487085,-0.07628959821445747,-0.026348741915778674,0.009050436007802433,0.03229915710931904,True,ESTIMABLE,5,8,4,46.59543432414334,39.29882393949788,44.504217270480346,1.0,9.0,"MEDIUM; observed: LiveBench Logic, LiveBench Math; missing: GPQA Diamond","HIGH; observed: AA-Omniscience, Humanity's Last Exam; missing: none","MEDIUM; observed: AA-LCR; missing: CorpusQA, MRCR","MEDIUM; observed: LiveBench Coding; missing: FrontierSWE, ProgramBench, SWE-bench Verified",MEDIUM; observed: MMMU-Pro; missing: MathVision
glm_5_2_max,GLM-5.2 (max),29.304570389924805,9.803510167641388,51.06282352003342,24.137811030338977,,0.0,-0.04322353347864165,-0.08101157393425427,-0.0016727972353649764,-0.08280373278686926,,False,STRUCTURAL_CAPABILITY_ABSENCE,9,9,,14.905681000955749,24.89133546071706,,5.0,10.0,"HIGH; observed: GPQA Diamond, LiveBench Logic, LiveBench Math; missing: none","HIGH; observed: AA-Omniscience, Humanity's Last Exam; missing: none","MEDIUM; observed: AA-LCR; missing: CorpusQA, MRCR","HIGH; observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified","LOW; observed: none; missing: MMMU-Pro, MathVision"
