scenario,subset,fit_model,parameters,loocv_error,n,rss,r2,aic,aicc,bic
Coding,all_models,linear,0.904508348543;0.164117790037,0.0040554155024261195,8,0.016421685039517638,0.07034147766399901,-45.50875280590874,-43.10875280590874,-45.34986972254907
Coding,all_models,log,0.902964627762;0.192115648785,0.004088527256151598,8,0.016291227100518234,0.07772691554722044,-45.572560579447256,-43.17256057944726,-45.41367749608759
Coding,all_models,saturation,-105.301680495;-106.206192024;-0.00154480797042,0.003159307384270108,8,0.016421897909448535,0.07032942674809528,-43.50864910471086,-37.50864910471086,-43.27032447967136
General,all_models,linear,0.708761586497;4.79111414679,0.008176087610815713,8,0.036848891402823436,0.5068577888791215,-39.042970292218975,-36.642970292218976,-38.884087208859306
General,all_models,log,0.70776428423;4.91239837193,0.008129960426775341,8,0.03662512319171317,0.5098524393612531,-39.09169911787308,-36.69169911787308,-38.93281603451341
General,all_models,saturation,0.879467675063;0.342238799551;137.816473292,9.802599809791566,8,0.01829186113193943,0.7552032503363317,-42.64592485305907,-36.64592485305907,-42.40760022801956
Research,all_models,linear,0.837197558103;0.278858650135,0.0006817620699188448,8,0.003535562367832712,0.470986401058219,-57.79459558639406,-55.39459558639406,-57.63571250303439
Research,all_models,log,0.836073424553;0.310836657483,0.0006780107603461618,8,0.0035170072691117185,0.4737627343630477,-57.8366912025775,-55.4366912025775,-57.67780811921783
Research,all_models,saturation,0.915677161535;0.0866324802244;6.27632934179,0.0008701186426513615,8,0.003463603018207824,0.48175342213212724,-55.959099509304885,-49.959099509304885,-55.72077488426538
Coding,pareto_frontier,linear,0.852847304266;1.33762727696,,3,0.007184916454807691,0.5604681531003406,-14.10315102773065,,-15.90592645039443
Coding,pareto_frontier,log,0.851091730489;1.42930496101,,3,0.007050333902957645,0.5687011392383406,-14.159877769477902,,-15.962653192141682
General,pareto_frontier,linear,0.687161428575;7.23560705373,0.014825674650278313,6,0.024143807208024094,0.667923161091466,-29.09292098783027,-25.09292098783027,-29.50940204937416
General,pareto_frontier,log,0.68585194897;7.41151666317,0.01442046758857188,6,0.02387236720254521,0.6716565796942613,-29.160758852977956,-25.160758852977956,-29.577239914521847
General,pareto_frontier,saturation,0.941663274064;0.381079773249;91.5244706656,2.608765986695174,6,0.011233430914776608,0.8454940351314333,-31.6837230766941,-19.6837230766941,-32.30844466900994
Research,pareto_frontier,linear,0.833139884818;0.685132174672,,3,0.0006033440380328086,0.7890252538224021,-21.534905805806616,,-23.337681228470398
Research,pareto_frontier,log,0.832241957372;0.730812542362,,3,0.0005815967066982383,0.7966297670339862,-21.645036748744822,,-23.447812171408604
