model_id,model,scene,dimension,inner_share,marginal_utility,utility_elasticity
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,C1,0.34100312124692705,0.3352604833731412,0.3410027561736399
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,C2,0.31144710556318245,0.28601326476464384,0.31144679411638837
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,C3,0.3475497731898904,0.38296766558960443,0.34754935616709315
kimi_k3_max,Kimi K3 (max reasoning),research,C1,0.3307601242562528,0.3059473836101996,0.33075978480225743
kimi_k3_max,Kimi K3 (max reasoning),research,C2,0.33459984257034187,0.35465858328892436,0.33459944907041506
kimi_k3_max,Kimi K3 (max reasoning),research,C3,0.3346400331734054,0.34185722513008815,0.3346396538768103
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,C1,0.3302977194072789,0.3046660272070609,0.3302973806038787
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,C2,0.327678479558209,0.3331018444735809,0.3276781091328006
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,C3,0.3420238010345121,0.3649892443626686,0.34202339514876823
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,C1,0.32608959594848586,0.29316905848159236,0.3260892651185597
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,C2,0.3367159000362686,0.36142996195367183,0.33671549217655705
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,C3,0.3371945040152456,0.34974582698226714,0.3371941093406277
claude_opus_4_8_max,Claude Opus 4.8 (max),research,C1,0.3225096410603086,0.283619057880713,0.32250931855099
claude_opus_4_8_max,Claude Opus 4.8 (max),research,C2,0.33083663866689583,0.3428262570670617,0.3308362488318001
claude_opus_4_8_max,Claude Opus 4.8 (max),research,C3,0.3466537202727955,0.38001319390872157,0.34665328815163576
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,C1,0.33572629363862416,0.3199361926037951,0.33572592916095717
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,C2,0.3540746530707078,0.42025974524643317,0.3540741743024563
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,C3,0.310199053290668,0.2722904962037859,0.3101987430919249
qwen3_8_max,Qwen3.8-Max,research,C1,0.3231002575013149,0.2851800998592226,0.32309991789954823
qwen3_8_max,Qwen3.8-Max,research,C2,0.3404278438054231,0.37351538955139396,0.3404273990111116
qwen3_8_max,Qwen3.8-Max,research,C3,0.336471898693262,0.3475021339343937,0.3364714848763839
glm_5_2_max,GLM-5.2 (max),research,C1,0.32889754416752964,0.3008078713232806,0.32889718330749856
glm_5_2_max,GLM-5.2 (max),research,C2,0.33997814968440665,0.3720371389114966,0.3399777033751631
glm_5_2_max,GLM-5.2 (max),research,C3,0.33112430614806365,0.33119537471361077,0.3311239088340815
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,C1,0.31379090505006874,0.2612331935867583,0.31379058959694045
