model_id,model,scene,ces_utility,ces_rank
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,0.9183374822531004,1
kimi_k3_max,Kimi K3 (max reasoning),research,0.9012926282950031,2
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,0.8992413504614967,3
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,0.8861624515886894,4
claude_opus_4_8_max,Claude Opus 4.8 (max),research,0.8794135287469893,5
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,0.8777936799153787,6
qwen3_8_max,Qwen3.8-Max,research,0.8397485755751156,7
glm_5_2_max,GLM-5.2 (max),research,0.8335860041360706,8
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,0.8281204723179951,9
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,0.8272893300307572,10
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.932418708623976,1
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.932145427852394,2
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.8687069582921643,3
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.8661586954130576,4
qwen3_8_max,Qwen3.8-Max,dialogue,0.8383797086565321,5
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.8383394649502275,6
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.837174749199171,7
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.6542860728359404,8
glm_5_2_max,GLM-5.2 (max),dialogue,0.6481379677469584,9
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.6468756848029605,10
kimi_k3_max,Kimi K3 (max reasoning),coding,0.9813020054113565,1
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,0.9762038301568621,2
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,0.9610626303156368,3
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,0.9512731717446156,4
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,0.9259813234950288,5
qwen3_8_max,Qwen3.8-Max,coding,0.9257001776879481,6
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,0.9163907203396128,7
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,0.9025140728523974,8
glm_5_2_max,GLM-5.2 (max),coding,0.8587896658995123,9
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,0.8155773752485842,10
