model_id,model,multimodal_capable,C1_applicable,C2_applicable,C3_applicable,C4_applicable,C5_applicable,C5_status,C5_direct_benchmark_count,C3_direct_observation_strength,C4_direct_observation_strength
kimi_k3_max,Kimi K3 (max reasoning),True,True,True,True,True,True,ESTIMABLE,2,"MEDIUM: observed: AA-LCR; missing: CorpusQA, MRCR","HIGH: observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified"
gpt_5_6_sol_max,GPT-5.6 Sol (max),True,True,True,True,True,True,ESTIMABLE,2,"MEDIUM: observed: AA-LCR; missing: CorpusQA, MRCR","HIGH: observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified"
gpt_5_5_xhigh,GPT-5.5 (xhigh),True,True,True,True,True,True,ESTIMABLE,2,"MEDIUM: observed: AA-LCR; missing: CorpusQA, MRCR","HIGH: observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified"
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",True,True,True,True,True,True,ESTIMABLE,1,"MEDIUM: observed: AA-LCR; missing: CorpusQA, MRCR","HIGH: observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified"
claude_opus_4_8_max,Claude Opus 4.8 (max),True,True,True,True,True,True,ESTIMABLE,1,"MEDIUM: observed: AA-LCR; missing: CorpusQA, MRCR","HIGH: observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified"
gemini_3_1_pro_high,Gemini-3.1-Pro (High),True,True,True,True,True,True,ESTIMABLE,1,"HIGH: observed: AA-LCR, CorpusQA, MRCR; missing: none","MEDIUM: observed: LiveBench Coding; missing: FrontierSWE, ProgramBench, SWE-bench Verified"
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,False,True,True,True,True,False,STRUCTURAL_CAPABILITY_ABSENCE,0,"HIGH: observed: AA-LCR, CorpusQA, MRCR; missing: none","MEDIUM: observed: LiveBench Coding, SWE-bench Verified; missing: FrontierSWE, ProgramBench"
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,False,True,True,True,True,False,STRUCTURAL_CAPABILITY_ABSENCE,0,"HIGH: observed: AA-LCR, CorpusQA, MRCR; missing: none","MEDIUM: observed: LiveBench Coding, SWE-bench Verified; missing: FrontierSWE, ProgramBench"
qwen3_8_max,Qwen3.8-Max,True,True,True,True,True,True,ESTIMABLE,1,"MEDIUM: observed: AA-LCR; missing: CorpusQA, MRCR","MEDIUM: observed: LiveBench Coding; missing: FrontierSWE, ProgramBench, SWE-bench Verified"
glm_5_2_max,GLM-5.2 (max),False,True,True,True,True,False,STRUCTURAL_CAPABILITY_ABSENCE,0,"MEDIUM: observed: AA-LCR; missing: CorpusQA, MRCR","HIGH: observed: FrontierSWE, LiveBench Coding, ProgramBench; missing: SWE-bench Verified"
