model_id,model,scene,ces_utility,ces_rank,linear_utility,linear_rank,pri,sensitivity_type,sensitivity_value
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,0.6729480888050972,1,0.6841454877981556,2,0.016366985082509347,score_floor_delta,0.1
kimi_k3_max,Kimi K3 (max reasoning),research,0.6630005832769358,2,0.6813518287032834,3,0.026933582113183446,score_floor_delta,0.1
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,0.6513271736274941,3,0.6932524818504223,1,0.06047624685168321,score_floor_delta,0.1
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,0.6107338540721591,4,0.6541605984763698,5,0.06638544801591162,score_floor_delta,0.1
claude_opus_4_8_max,Claude Opus 4.8 (max),research,0.6074227369934733,5,0.6645614133977736,4,0.08597952762884832,score_floor_delta,0.1
qwen3_8_max,Qwen3.8-Max,research,0.38354964037817507,6,0.4576612259151969,8,0.16193546960160107,score_floor_delta,0.1
glm_5_2_max,GLM-5.2 (max),research,0.3221236957056656,7,0.37153575324009286,9,0.13299408496628937,score_floor_delta,0.1
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,0.2854804163842311,8,0.5171577206290492,6,0.44798191152017497,score_floor_delta,0.1
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,0.28308705581917426,9,0.5136330125424667,7,0.44885346364731793,score_floor_delta,0.1
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,0.20927373639441535,10,0.2964576635896482,10,0.29408559097298764,score_floor_delta,0.1
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,0.7601247078266578,1,0.7762580553829532,1,0.020783484879054005,score_floor_delta,0.1
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,0.7204545372470014,2,0.747363366680831,2,0.03600501527568362,score_floor_delta,0.1
kimi_k3_max,Kimi K3 (max reasoning),dialogue,0.5591925919695343,3,0.5793577438386304,4,0.03480604528643826,score_floor_delta,0.1
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,0.5201640315637659,4,0.597681704105591,3,0.1296972485678267,score_floor_delta,0.1
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,0.4076173031370142,5,0.4886069097379224,6,0.1657561630562064,score_floor_delta,0.1
qwen3_8_max,Qwen3.8-Max,dialogue,0.3963979582103242,6,0.4504629476804125,7,0.12002094678038981,score_floor_delta,0.1
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,0.380217784265602,7,0.5115963079521528,5,0.256801156780119,score_floor_delta,0.1
glm_5_2_max,GLM-5.2 (max),dialogue,0.20683023081068863,8,0.24351784301284957,9,0.15065677220303345,score_floor_delta,0.1
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,0.17973031128930927,9,0.27127288195741966,8,0.33745566459709514,score_floor_delta,0.1
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,0.16826981294566035,10,0.2019823853822579,10,0.1669084775526117,score_floor_delta,0.1
kimi_k3_max,Kimi K3 (max reasoning),coding,0.898593077643856,1,0.9013134351782485,1,0.003018214783245175,score_floor_delta,0.1
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,0.7871215903406505,2,0.8362263416462279,2,0.0587218422334171,score_floor_delta,0.1
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,0.7858700772741336,3,0.7865843341391316,3,0.0009080486783146428,score_floor_delta,0.1
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,0.6983625225707867,4,0.7627031909905927,4,0.08435872457310802,score_floor_delta,0.1
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,0.6799013038668179,5,0.7103563533744879,5,0.04287291774472887,score_floor_delta,0.1
qwen3_8_max,Qwen3.8-Max,coding,0.658525428759272,6,0.6585244646207731,7,-1.4640891124401255e-06,score_floor_delta,0.1
claude_opus_4_8_max,Claude Opus 4.8 (max),coding,0.6285858548615095,7,0.6784380798523679,6,0.07348087684244747,score_floor_delta,0.1
gpt_5_5_xhigh,GPT-5.5 (xhigh),coding,0.5590393247760067,8,0.6058994169111792,8,0.0773397214575004,score_floor_delta,0.1
glm_5_2_max,GLM-5.2 (max),coding,0.33251667640347543,9,0.33351559125574615,9,0.00299510691092318,score_floor_delta,0.1
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,coding,0.100001,10,0.1,10,-1.0000000000010001e-05,score_floor_delta,0.1
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,0.6919134149985041,1,0.7016929606982582,2,0.013937072548116143,score_floor_delta,0.15
kimi_k3_max,Kimi K3 (max reasoning),research,0.6831960668682961,2,0.6990545048864343,3,0.022685552996635695,score_floor_delta,0.15
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,0.6734068657789524,3,0.71029401063651,1,0.05193222004575576,score_floor_delta,0.15
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,0.6358768794055057,4,0.6733738985610158,5,0.05568528752843007,score_floor_delta,0.15
claude_opus_4_8_max,Claude Opus 4.8 (max),research,0.6331031288724248,5,0.6831968904312308,4,0.07332258425120612,score_floor_delta,0.15
qwen3_8_max,Qwen3.8-Max,research,0.42825573183475096,6,0.48779115780879706,8,0.12205105611484375,score_floor_delta,0.15
glm_5_2_max,GLM-5.2 (max),research,0.3671113721873245,7,0.40645043361564326,9,0.0967868605241038,score_floor_delta,0.15
