scene,prior,model_id,model,mean_rank,best_rank,worst_rank,rank_sd,top1_proportion,top3_proportion,mean_utility,utility_sd
coding,equal,kimi_k3_max,Kimi K3 (max reasoning),1.1111111111111112,1,2,0.3156213843159996,0.8888888888888888,1.0,0.9813023445112236,0.0006929221933273472
coding,equal,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",1.8888888888888888,1,2,0.3156213843159996,0.1111111111111111,1.0,0.9762170748277068,0.0043350591979791865
coding,equal,deepseek_v4_pro_max,DeepSeek-V4-Pro Max,3.1025641025641026,3,4,0.3046936105113995,0.0,0.8974358974358975,0.9610746970162134,0.004104907035350638
coding,equal,gpt_5_6_sol_max,GPT-5.6 Sol (max),3.8974358974358974,3,4,0.3046936105113995,0.0,0.10256410256410256,0.9512771039406805,0.0023159275975460757
coding,equal,gemini_3_1_pro_high,Gemini-3.1-Pro (High),5.452991452991453,5,6,0.4999263134621306,0.0,0.0,0.9260136888199626,0.006524501298508015
coding,equal,qwen3_8_max,Qwen3.8-Max,5.547008547008547,5,6,0.4999263134621306,0.0,0.0,0.9257049478813697,0.0025155544677102
coding,equal,claude_opus_4_8_max,Claude Opus 4.8 (max),7.0,7,7,0.0,0.0,0.0,0.9164382110711298,0.00784992865063713
coding,equal,gpt_5_5_xhigh,GPT-5.5 (xhigh),8.0,8,8,0.0,0.0,0.0,0.9025617268119049,0.007802995775255233
coding,equal,glm_5_2_max,GLM-5.2 (max),9.0,9,9,0.0,0.0,0.0,0.8588104167170462,0.00503728138297387
coding,equal,deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10.0,10,10,0.0,0.0,0.0,0.8156067208839519,0.005829947333578913
coding,q1,kimi_k3_max,Kimi K3 (max reasoning),1.1111111111111112,1,2,0.3156213843159996,0.8888888888888888,1.0,0.9813023445112237,0.0006929221933273691
coding,q1,claude_fable_5_max,"Claude Fable 5 (max, with fallback)",1.8888888888888888,1,2,0.3156213843159996,0.1111111111111111,1.0,0.9762170748277068,0.004335059197979337
