scene,scene_label,prior,alpha,dimension,dimension_label,active_in_scene,weight,kl_divergence
research,科研长文本分析,q1,0.675,C1,复杂推理,True,0.34391122241574246,0.030945468352096314
research,科研长文本分析,q1,0.675,C2,事实可靠,True,0.3249999999999999,0.030945468352096314
research,科研长文本分析,q1,0.675,C3,长上下文,True,0.33108877758425764,0.030945468352096314
research,科研长文本分析,q1,0.675,C4,代码工程,False,0.0,0.030945468352096314
research,科研长文本分析,q1,0.675,C5,多模态,False,0.0,0.030945468352096314
research,科研长文本分析,equal,0.675,C1,复杂推理,True,0.3374999942441627,0.00015691340413207574
research,科研长文本分析,equal,0.675,C2,事实可靠,True,0.32500000000000007,0.00015691340413207574
research,科研长文本分析,equal,0.675,C3,长上下文,True,0.3375000057558373,0.00015691340413207574
research,科研长文本分析,equal,0.675,C4,代码工程,False,0.0,0.00015691340413207574
research,科研长文本分析,equal,0.675,C5,多模态,False,0.0,0.00015691340413207574
dialogue,大众日常通用对话,q1,0.625,C1,复杂推理,True,0.2416766442915314,0.12850043562940913
dialogue,大众日常通用对话,q1,0.625,C2,事实可靠,True,0.38332335570846826,0.12850043562940913
dialogue,大众日常通用对话,q1,0.625,C3,长上下文,True,0.09999999999999998,0.12850043562940913
dialogue,大众日常通用对话,q1,0.625,C4,代码工程,False,0.0,0.12850043562940913
dialogue,大众日常通用对话,q1,0.625,C5,多模态,True,0.2750000000000004,0.12850043562940913
dialogue,大众日常通用对话,equal,0.625,C1,复杂推理,True,0.3124999999722691,0.03158394240196335
dialogue,大众日常通用对话,equal,0.625,C2,事实可靠,True,0.31250000002773093,0.03158394240196335
dialogue,大众日常通用对话,equal,0.625,C3,长上下文,True,0.18750000262464797,0.03158394240196335
dialogue,大众日常通用对话,equal,0.625,C4,代码工程,False,0.0,0.03158394240196335
dialogue,大众日常通用对话,equal,0.625,C5,多模态,True,0.187499997375352,0.03158394240196335
coding,计算机代码开发,q1,0.65,C1,复杂推理,True,0.3500000000000001,0.0587853740325337
coding,计算机代码开发,q1,0.65,C2,事实可靠,False,0.0,0.0587853740325337
coding,计算机代码开发,q1,0.65,C3,长上下文,False,0.0,0.0587853740325337
coding,计算机代码开发,q1,0.65,C4,代码工程,True,0.6499999999999999,0.0587853740325337
coding,计算机代码开发,q1,0.65,C5,多模态,False,0.0,0.0587853740325337
coding,计算机代码开发,equal,0.65,C1,复杂推理,True,0.34999999999999987,0.04570054152531294
coding,计算机代码开发,equal,0.65,C2,事实可靠,False,0.0,0.04570054152531294
coding,计算机代码开发,equal,0.65,C3,长上下文,False,0.0,0.04570054152531294
coding,计算机代码开发,equal,0.65,C4,代码工程,True,0.6500000000000001,0.04570054152531294
coding,计算机代码开发,equal,0.65,C5,多模态,False,0.0,0.04570054152531294
