model_id,model,C1_theta,C2_theta,C3_theta,C4_theta,C5_theta
kimi_k3_max,Kimi K3 (max reasoning),0.023575390459888254,0.028973731877515417,0.055297226350198604,0.08582277010444776,-0.03587378629399259
gpt_5_6_sol_max,GPT-5.6 Sol (max),0.024094837868875268,0.06850012615374458,0.00936884634747162,0.0378198844634077,0.18157704429928098
gpt_5_5_xhigh,GPT-5.5 (xhigh),0.0350881728198479,-0.0005644625136405263,0.02315848882240687,-0.04789146949213971,-0.127578827746833
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",-0.01868612548418522,0.19112047177571867,-0.001672797235364975,0.10088357336713336,0.05333418205539982
claude_opus_4_8_max,Claude Opus 4.8 (max),0.04952143482578415,0.027020190262893345,-0.039819494894206726,-0.03221166623572066,-0.15075681712553368
gemini_3_1_pro_high,Gemini-3.1-Pro (High),0.044237178484170595,0.013297054773238354,-0.19182256887109406,-0.013748996970943492,0.04699904770235941
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,-0.0326487045518814,-0.11058976796394768,0.1805614054720557,0.08432851235532739,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,-0.08166804774185302,-0.06045617221681044,-0.0070495668403233675,-0.14124931081244554,
qwen3_8_max,Qwen3.8-Max,-0.00029060320200487085,-0.07628959821445747,-0.026348741915778674,0.009050436007802433,0.03229915710931904
glm_5_2_max,GLM-5.2 (max),-0.04322353347864165,-0.08101157393425427,-0.0016727972353649764,-0.08280373278686926,
