model_id,model,ranking_A_rank,ranking_A_score,ranking_B_rank,ranking_B_score,ranking_C_rank,ranking_C_score
kimi_k3_max,Kimi K3 (max reasoning),3,53.71951005579109,2,67.47506091725245,3,50.1548937015005
gpt_5_6_sol_max,GPT-5.6 Sol (max),1,80.49837465220403,3,65.98955887059607,1,77.42963291795185
gpt_5_5_xhigh,GPT-5.5 (xhigh),6,33.485069123391845,5,52.171843407145545,6,30.89316590497225
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",2,70.82244404278597,1,79.57704113099587,2,67.17235405860113
claude_opus_4_8_max,Claude Opus 4.8 (max),7,32.455631118534825,4,56.1716927717902,7,25.237302011171632
gemini_3_1_pro_high,Gemini-3.1-Pro (High),4,52.2760274218932,6,47.412425030800634,5,39.699167177550144
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,8,28.141755092885656,7,46.92168073560302,,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,10,9.503667165920382,10,15.823376203109998,,
qwen3_8_max,Qwen3.8-Max,5,46.59543432414334,8,39.29882393949788,4,44.504217270480346
glm_5_2_max,GLM-5.2 (max),9,14.905681000955749,9,24.89133546071706,,
