scenario,scenario_name,n_calls,input_tokens,output_tokens,input_output_ratio,workload_level,source_or_rationale,notes
Research,Scientific long-text analysis,1,16000,4000,0.25,baseline_template,standardized_scenario_from_q2_long_context_mapping,Single standardized research call for long-paper or report analysis; not an industry average.
Research,Scientific long-text analysis,1,8000,4000,0.5,input_scale_0.5,standardized_sensitivity_grid,Input token scale sensitivity around the research baseline while holding output tokens fixed.
Research,Scientific long-text analysis,1,16000,4000,0.25,input_scale_1.0,standardized_sensitivity_grid,Input token scale sensitivity equal to the research baseline.
Research,Scientific long-text analysis,1,24000,4000,0.1667,input_scale_1.5,standardized_sensitivity_grid,Input token scale sensitivity around the research baseline while holding output tokens fixed.
Research,Scientific long-text analysis,1,16000,2400,0.15,ratio_0.15,standardized_sensitivity_grid,Output to input ratio sensitivity for concise scientific answers.
Research,Scientific long-text analysis,1,16000,4000,0.25,ratio_0.25,standardized_sensitivity_grid,Output to input ratio sensitivity equal to the research baseline.
Research,Scientific long-text analysis,1,16000,8000,0.5,ratio_0.50,standardized_sensitivity_grid,Output to input ratio sensitivity for detailed synthesis.
General,Daily general tasks,1,2000,1000,0.5,baseline_template,standardized_scenario_from_general_assistant_workload,Single standardized general assistant call for mixed Q&A and summarization; not an industry average.
General,Daily general tasks,1,1000,1000,1.0,input_scale_0.5,standardized_sensitivity_grid,Input token scale sensitivity around the general baseline while holding output tokens fixed.
General,Daily general tasks,1,2000,1000,0.5,input_scale_1.0,standardized_sensitivity_grid,Input token scale sensitivity equal to the general baseline.
General,Daily general tasks,1,3000,1000,0.3333,input_scale_1.5,standardized_sensitivity_grid,Input token scale sensitivity around the general baseline while holding output tokens fixed.
General,Daily general tasks,1,2000,500,0.25,ratio_0.25,standardized_sensitivity_grid,Output to input ratio sensitivity for brief general answers.
General,Daily general tasks,1,2000,1000,0.5,ratio_0.50,standardized_sensitivity_grid,Output to input ratio sensitivity equal to the general baseline.
General,Daily general tasks,1,2000,2000,1.0,ratio_1.00,standardized_sensitivity_grid,Output to input ratio sensitivity for longer general answers.
Coding,Code development,1,6000,6000,1.0,baseline_template,standardized_scenario_from_code_generation_and_review,Single standardized coding call for implementation or review with substantial generated output; not an industry average.
Coding,Code development,1,3000,6000,2.0,input_scale_0.5,standardized_sensitivity_grid,Input token scale sensitivity around the coding baseline while holding output tokens fixed.
Coding,Code development,1,6000,6000,1.0,input_scale_1.0,standardized_sensitivity_grid,Input token scale sensitivity equal to the coding baseline.
Coding,Code development,1,9000,6000,0.6667,input_scale_1.5,standardized_sensitivity_grid,Input token scale sensitivity around the coding baseline while holding output tokens fixed.
Coding,Code development,1,6000,3000,0.5,ratio_0.50,standardized_sensitivity_grid,Output to input ratio sensitivity for patch review or concise code answers.
Coding,Code development,1,6000,6000,1.0,ratio_1.00,standardized_sensitivity_grid,Output to input ratio sensitivity equal to the coding baseline.
Coding,Code development,1,6000,9000,1.5,ratio_1.50,standardized_sensitivity_grid,Output to input ratio sensitivity for larger implementation outputs.
