model_id,model_name,exact_version,provider,price_date,input_price,output_price,cached_input_price,price_unit,deployment,source_type,source_url,human_verified,notes
kimi_k3_max,Kimi K3 (max reasoning),Kimi K3 max reasoning,Moonshot AI,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://platform.moonshot.cn/docs/pricing,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; do not use for final pricing until human verified.
gpt_5_6_sol_max,GPT-5.6 Sol (max),GPT-5.6 Sol max,OpenAI,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://openai.com/api/pricing/,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; do not map to another OpenAI model without explicit version evidence.
gpt_5_5_xhigh,GPT-5.5 (xhigh),GPT-5.5 xhigh,OpenAI,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://openai.com/api/pricing/,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; do not map to another OpenAI model without explicit version evidence.
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",Claude Fable 5 max with fallback,Anthropic,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://docs.anthropic.com/en/docs/about-claude/pricing,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; fallback behavior must be priced explicitly before final use.
claude_opus_4_8_max,Claude Opus 4.8 (max),Claude Opus 4.8 max,Anthropic,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://docs.anthropic.com/en/docs/about-claude/pricing,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; do not map to another Claude version without explicit evidence.
gemini_3_1_pro_high,Gemini-3.1-Pro (High),Gemini 3.1 Pro High,Google,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://ai.google.dev/gemini-api/docs/pricing,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; high reasoning mode pricing must be verified.
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,DeepSeek V4 Pro Max,DeepSeek,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://api-docs.deepseek.com/quick_start/pricing,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; do not substitute DeepSeek public models without explicit match.
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,DeepSeek V4 Flash Max,DeepSeek,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://api-docs.deepseek.com/quick_start/pricing,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; do not substitute DeepSeek public models without explicit match.
qwen3_8_max,Qwen3.8-Max,Qwen3.8 Max,Alibaba / Qwen,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://help.aliyun.com/zh/model-studio/billing-for-model-studio,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; DashScope region and model id must be verified.
glm_5_2_max,GLM-5.2 (max),GLM-5.2 max,Zhipu / GLM,NA,NA,NA,NA,USD / 1M tokens,standard realtime API,official_pricing_candidate,https://docs.bigmodel.cn/cn/guide/models/price,FALSE,Exact Q1/Q2 version not confirmed in official API pricing during Q3 framework setup; currency conversion date must be recorded if source is not USD.
