model_id,model,scene,prior,alpha,rho,utility,kl_divergence,rank,top1,top3
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.8,0.8949674897181286,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.8,0.8971518845506926,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.8,0.8783581721739184,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.8,0.9261106763324201,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.8,0.8748860299098133,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.8,0.8265890428760203,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.8,0.8583581665184259,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.8,0.8212215070370051,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.8,0.8299353410678257,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.8,0.8244249318768371,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.75,0.8950402448238716,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.75,0.8972258242873777,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.75,0.8784821181001226,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.75,0.9262437222600814,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.75,0.8750564413352317,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.75,0.8270087482498911,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.75,0.8587318245115813,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.75,0.8212734784411039,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.75,0.8301050697386753,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.75,0.8245395646169765,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.7000000000000001,0.8951131015062934,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.7000000000000001,0.8972998423704291,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.7000000000000001,0.878606337388807,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.7000000000000001,0.9263766507326163,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.7000000000000001,0.8752272462354826,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.7000000000000001,0.8274286578660728,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.7000000000000001,0.8591054839769489,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.7000000000000001,0.821325466827955,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.7000000000000001,0.8302751993691164,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.7000000000000001,0.8246542824117837,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.65,0.8951860594194276,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.65,0.8973739384357406,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.65,0.878730829144778,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.65,0.9265094602985411,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.65,0.87539844291981,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.65,0.8278487573994455,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.65,0.8594791301141453,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.65,0.8213774719440031,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.65,0.8304457281257818,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.65,0.8247690840908072,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.6,0.8952591182139025,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.6,0.8974481121165502,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.6,0.8788555924571928,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.6,0.9266421495141138,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.6,0.8755700296668096,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.6,0.8282690325033254,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.6,0.8598527481337662,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.6,0.8214294935352915,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.6,0.830616654142616,0.004493594103766423,7,False,False
glm_5_2_max,GLM-5.2 (max),research,q1,0.6,-0.6,0.8248839684790648,0.004493594103766423,9,False,False
kimi_k3_max,Kimi K3 (max reasoning),research,q1,0.6,-0.55,0.8953322775369429,0.004493594103766423,3,False,True
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,q1,0.6,-0.55,0.8975223630434476,0.004493594103766423,2,False,True
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,q1,0.6,-0.55,0.8789806263995422,0.004493594103766423,4,False,False
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,q1,0.6,-0.55,0.9267747169434108,0.004493594103766423,1,True,True
claude_opus_4_8_max,Claude Opus 4.8 (max),research,q1,0.6,-0.55,0.8757420047244181,0.004493594103766423,5,False,False
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,q1,0.6,-0.55,0.8286894688123468,0.004493594103766423,8,False,False
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,q1,0.6,-0.55,0.860226323260647,0.004493594103766423,6,False,False
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,q1,0.6,-0.55,0.8214815313474689,0.004493594103766423,10,False,False
qwen3_8_max,Qwen3.8-Max,research,q1,0.6,-0.55,0.830787975520872,0.004493594103766423,7,False,False
