source_id,source_name,source_type,benchmark_family,snapshot_date,authority_level,notes
SRC001,Moonshot AI: Kimi K3 README / Technical Release,Vendor official GitHub / model technical release,DeepSWE; FrontierSWE; GPQA Diamond; HLE-Full; MMMU-Pro; MathVision; ProgramBench; SciCode; Terminal-Bench,2026-08-16,B,Numeric source represented in RawData.
SRC002,OpenAI: Previewing GPT-5.6 Sol / GPT-5.6 page,Vendor official web page,Model identity,2026-08-16,B,No numeric row selected in earlier phases.
SRC003,DeepSeek: DeepSeek-V4: Towards Highly Efficient Million-Token Context Intelligence,Vendor technical report / arXiv HTML,CorpusQA 1M; GPQA Diamond; HLE; HMMT 2026 Feb; LiveCodeBench; MCPAtlas Public; MMLU-Pro; MRCR 1M; SWE Pro; SWE Verified; SimpleQA-Verified; Terminal-Bench; Toolathlon,2026-08-16,B,Numeric source represented in RawData.
SRC004,Alibaba Qwen: Qwen3 Technical Report,Vendor technical report / arXiv HTML,EvalPlus; GPQA; MATH; MBPP; MMLU; MMLU-Pro; MMLU-Redux; RULER,2026-08-16,B,Numeric source represented in RawData.
SRC005,Alibaba Qwen: Qwen3.8 official blog page,Vendor official web page,Model identity,2026-08-16,B,No numeric row selected in earlier phases.
SRC006,LiveBench: LiveBench official table release 2026-06-25,Independent unified benchmark platform / official CSV,LiveBench AMPS_Hard; LiveBench code_completion; LiveBench code_generation; LiveBench javascript; LiveBench logic_with_navigation; LiveBench math_comp; LiveBench olympiad; LiveBench python; LiveBench typescript; LiveBench zebra_puzzle,2026-08-16,A,Numeric source represented in RawData.
SRC007,OpenRouter: OpenRouter GPQA Diamond benchmark page,Independent unified endpoint benchmark page,GPQA Diamond,2026-08-16,C,Numeric source represented in RawData.
SRC008,BenchLM: BenchLM LiveBench mirror page,Supplementary mirror,LiveBench metadata,2026-08-16,C,Metadata only; official CSV is primary.
SRC009,Artificial Analysis: Kimi K3 Intelligence Index article,Independent platform article,External validation,2026-08-16,C,Composite score excluded from modeling matrix.
SRC010,Google DeepMind: Gemini 3.1 Pro evaluation overview,Vendor official evaluation PDF,HLE; GPQA Diamond; MMMU-Pro; MRCR v2,2026-08-16,B,"Archived official PDF; used as protocol context and supplementary cross-source evidence, not silently merged with independent-platform settings."
SRC011,Anthropic: Claude Fable 5 and Mythos 5 System Card,Vendor official system-card PDF,GraphWalks; long-context evaluation methodology,2026-08-16,B,"GraphWalks rows concern Mythos 5, not Fable 5; no model-identity substitution was made."
SRC012,OpenAI: GPT-5.6 official evaluation page,Vendor official web page,MMMU-Pro; MRCR v2; GraphWalks,2026-08-16,B,URL and exact table locations registered; supplementary protocol evidence only in this phase.
SRC013,Z.ai: GLM-5.2 official model card,Vendor official model card,HLE; GPQA; coding benchmarks,2026-08-16,B,HLE values without asterisk are text-only subset; they were not merged with HLE-Full rows.
SRC014,Artificial Analysis: AA-LCR public leaderboard snapshot 2026-08-16,Independent standardized benchmark leaderboard,AA-LCR,2026-08-16,A,Scores are snapshot-sensitive; archived JSON-LD/model records are the numeric evidence.
SRC015,Artificial Analysis: AA-LCR methodology,Independent benchmark methodology page,AA-LCR methodology,2026-08-16,A,"Method source: 100 long-context questions, three runs, pass@1-style accuracy with equality judge."
SRC016,Artificial Analysis: Humanity's Last Exam public leaderboard snapshot 2026-08-16,Independent standardized benchmark leaderboard,"HLE text-only 2,158-question subset",2026-08-16,C,Independent text-only subset; values preserved as fractions from archived structured payload.
SRC017,Artificial Analysis: AA-Omniscience public leaderboard snapshot 2026-08-16,Independent standardized benchmark leaderboard,AA-Omniscience Index,2026-08-16,A,Only rows visible in the current structured leaderboard were used; older embedded model-field values were excluded.
SRC018,Artificial Analysis: MMMU-Pro public leaderboard snapshot 2026-08-16,Independent standardized benchmark leaderboard,MMMU-Pro,2026-08-16,C,Only exact current structured entries/model records were used; protocol kept separate from vendor-reported MMMU-Pro.
SRC019,OpenAI: Introducing GPT-5.5,Vendor official web page,HLE; MMMU-Pro; GraphWalks,2026-08-16,B,Registered as supplementary vendor evidence; no claim of independent retesting.
