model_id,model_name,benchmark_exact_setting,provider,api_model,api_exact_version,reasoning_setting,sku_mapping_status,config_mapping_status,pricing_status,input_price,output_price,cached_input_price,price_unit,price_date,official_source,official_source_2,source_checked,human_verified,confidence,original_currency,original_input_price,original_output_price,original_cached_input_price,fx_rate,fx_date,fx_source,price_context_threshold,input_price_long_context,output_price_long_context,fallback_issue,fallback_rate,notes
kimi_k3_max,Kimi K3 (max reasoning),max reasoning,Moonshot AI,kimi-k3,kimi-k3,reasoning_effort=max,EXACT,SUPPORTED_CONFIG,READY,2.9675,14.8375,0.2968,USD / 1M billable tokens,2026-08-17,https://platform.kimi.com/docs/pricing/chat-k3.md,https://platform.kimi.com/docs/guide/use-thinking-models.md,TRUE,FALSE,high,CNY,20.00,100.00,2.00,6.73967410,2026-08-17,https://www.floatrates.com/daily/usd.json,NA,NA,NA,FALSE,0,Kimi K3 official price is CNY per 1M tokens. Kimi K3 always reasons and supports low high max reasoning_effort with default max. reasoning_content tokens are billable output/input consumption depending on turn reuse.
gpt_5_6_sol_max,GPT-5.6 Sol (max),max,OpenAI,gpt-5.6-sol,gpt-5.6-sol,reasoning.effort=max,EXACT,SUPPORTED_CONFIG,READY,5.0000,30.0000,0.5000,USD / 1M billable tokens,2026-08-17,https://developers.openai.com/api/docs/models/gpt-5.6-sol,https://developers.openai.com/api/docs/guides/reasoning,TRUE,FALSE,high,USD,5.00,30.00,0.50,NA,NA,NA,>272K input tokens,10.0000,45.0000,FALSE,0,Official model page maps GPT-5.6 Sol to API model gpt-5.6-sol and states reasoning.effort supports max. Standard baseline uses short-context price because Q3 baselines are below 272K input tokens. Reasoning tokens are billable model tokens.
gpt_5_5_xhigh,GPT-5.5 (xhigh),xhigh,OpenAI,gpt-5.5,gpt-5.5,reasoning.effort=xhigh,EXACT,SUPPORTED_CONFIG,READY,5.0000,30.0000,0.5000,USD / 1M billable tokens,2026-08-17,https://developers.openai.com/api/docs/models/gpt-5.5,https://developers.openai.com/api/docs/guides/reasoning,TRUE,FALSE,high,USD,5.00,30.00,0.50,NA,NA,NA,>272K input tokens,10.0000,45.0000,FALSE,0,Official model page maps GPT-5.5 to API model gpt-5.5 and states reasoning.effort supports xhigh. Standard baseline uses short-context price because Q3 baselines are below 272K input tokens. Reasoning tokens are billable model tokens.
claude_fable_5_max,"Claude Fable 5 (max, with fallback)","max, with fallback",Anthropic,claude-fable-5,claude-fable-5,adaptive thinking or benchmark max effort with fallback,EXACT,FALLBACK_DEPENDENT,SPECIAL_CASE,10.0000,50.0000,1.0000,USD / 1M billable tokens,2026-08-17,https://docs.anthropic.com/en/docs/about-claude/models/overview,https://docs.anthropic.com/en/docs/about-claude/pricing,TRUE,FALSE,medium,USD,10.00,50.00,1.00,NA,NA,NA,NA,NA,NA,TRUE,0.1625_to_0.40_observed_aggregate,Official Fable 5 base SKU and base price are available but benchmark configuration includes fallback. Local frozen evidence reports aggregate fallback or downgraded rates but no per-request fallback target or token trace. Formal configuration cost remains unresolved.
claude_opus_4_8_max,Claude Opus 4.8 (max),max,Anthropic,claude-opus-4-8,claude-opus-4-8,effort=max requested by benchmark,EXACT,SUPPORTED_CONFIG,READY,5.0000,25.0000,0.5000,USD / 1M billable tokens,2026-08-17,https://docs.anthropic.com/en/docs/about-claude/models/overview,https://docs.anthropic.com/en/docs/about-claude/pricing,TRUE,FALSE,medium,USD,5.00,25.00,0.50,NA,NA,NA,NA,NA,NA,FALSE,0,Official docs list Claude Opus 4.8 API ID and pricing. Docs state Opus 4.8 effort defaults to high on Claude API and should be set explicitly for a different level. No separate max pricing SKU was found.
gemini_3_1_pro_high,Gemini-3.1-Pro (High),High,Google DeepMind,gemini-3.1-pro-preview,gemini-3.1-pro-preview,thinking_level=high,EXACT,SUPPORTED_CONFIG,READY,2.0000,12.0000,0.2000,USD / 1M billable tokens,2026-08-17,https://ai.google.dev/gemini-api/docs/models/gemini-3.1-pro-preview,https://ai.google.dev/gemini-api/docs/pricing,TRUE,FALSE,high,USD,2.00,12.00,0.20,NA,NA,NA,>200K input tokens,4.0000,18.0000,FALSE,0,Official model page maps to gemini-3.1-pro-preview and supports thinking. Thinking docs list gemini-3.1-pro-preview default high and supported low medium high. Pricing page says output price includes thinking tokens. Q3 baselines use <=200K tier.
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,Max,DeepSeek,deepseek-v4-pro,DeepSeek-V4-Pro-0813,thinking mode default or enabled,EXACT,SUPPORTED_CONFIG,READY,1.3200,3.9600,0.0440,USD / 1M billable tokens,2026-08-17,https://api-docs.deepseek.com/quick_start/pricing,index page,TRUE,FALSE,high,USD,1.32,3.96,0.044,NA,NA,NA,peak vs off-peak time tier,0.6600,1.9800,FALSE,0,Official pricing lists deepseek-v4-pro as DeepSeek-V4-Pro-0813. Baseline records peak cache-miss input and output prices. Off-peak prices are half of peak and are stored as long_context fields only as a secondary tier note.
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,Max,DeepSeek,deepseek-v4-flash,DeepSeek-V4-Flash-0731,thinking mode default or enabled,EXACT,SUPPORTED_CONFIG,READY,0.4400,1.3200,0.0140,USD / 1M billable tokens,2026-08-17,https://api-docs.deepseek.com/quick_start/pricing,index page,TRUE,FALSE,high,USD,0.44,1.32,0.014,NA,NA,NA,peak vs off-peak time tier,0.2200,0.6600,FALSE,0,Official pricing lists deepseek-v4-flash as DeepSeek-V4-Flash-0731. Baseline records peak cache-miss input and output prices. Off-peak prices are half of peak and are stored as long_context fields only as a secondary tier note.
qwen3_8_max,Qwen3.8-Max,source-specific default/max,Alibaba Qwen,qwen3.8-max,qwen3.8-max,thinking or non-thinking mode under same SKU,EXACT,SUPPORTED_CONFIG,READY,1.7805,5.3415,NA,USD / 1M billable tokens,2026-08-17,https://help.aliyun.com/zh/model-studio/model-pricing,NA,TRUE,FALSE,high,CNY,12.00,36.00,NA,6.73967410,2026-08-17,https://www.floatrates.com/daily/usd.json,0<Token<=1M input range,NA,NA,FALSE,0,Official qwen3.8-max CNY prices are for the first 1M token range and include non-thinking and thinking modes under the same row. Context cache and batch discounts are excluded from the baseline.
glm_5_2_max,GLM-5.2 (max),max,Zhipu AI / Z.ai,glm-5.2,glm-5.2,reasoning_effort=max,EXACT,SUPPORTED_CONFIG,MISSING,NA,NA,NA,USD / 1M billable tokens,2026-08-17,https://docs.bigmodel.cn/cn/guide/models/text/glm-5.2.md,https://open.bigmodel.cn/pricing,TRUE,FALSE,medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,Official GLM-5.2 docs confirm model identity and reasoning_effort=max example with 1M context and 128K max output. Public official standard input/output API price was not observable on checked official docs or pricing console page. PRICE_NOT_PUBLICLY_OBSERVABLE.
