"model_id","model_name","exact_version","provider","price_date","input_price","output_price","cached_input_price","price_unit","deployment","source_type","source_url","human_verified","notes","api_model","sku_mapping_status","config_mapping_status","pricing_status","original_currency","original_input_price","original_output_price","original_cached_input_price","fx_rate","fx_date","fx_source","price_context_threshold","input_price_long_context","output_price_long_context","fallback_cost_unresolved","human_review_status","full_price_human_verified","base_price_human_verified","complete_configuration_cost_verified","sku_mapping_human_verified","config_mapping_human_verified"
"kimi_k3_max","Kimi K3 (max reasoning)","kimi-k3 reasoning_effort=max","Moonshot AI","2026-08-17","2.9675","14.8375","0.2968","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://platform.kimi.com/docs/pricing/chat-k3.md","TRUE","Official Kimi K3 CNY pricing converted with USD/CNY 6.73967410 on 2026-08-17. Output cost should use billable output tokens including reasoning_content when returned and billed.","kimi-k3","EXACT","SUPPORTED_CONFIG","READY","CNY","20.00","100.00","2.00","6.73967410","2026-08-17","https://www.floatrates.com/daily/usd.json","NA","NA","NA","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"gpt_5_6_sol_max","GPT-5.6 Sol (max)","gpt-5.6-sol reasoning.effort=max","OpenAI","2026-08-17","5.0000","30.0000","0.5000","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://developers.openai.com/api/docs/models/gpt-5.6-sol","TRUE","Official model page confirms gpt-5.6-sol and max reasoning. Baseline uses short-context price because workloads are below 272K input tokens; billable output includes reasoning tokens.","gpt-5.6-sol","EXACT","SUPPORTED_CONFIG","READY","USD","5.00","30.00","0.50","NA","NA","NA",">272K input tokens","10.0000","45.0000","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"gpt_5_5_xhigh","GPT-5.5 (xhigh)","gpt-5.5 reasoning.effort=xhigh","OpenAI","2026-08-17","5.0000","30.0000","0.5000","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://developers.openai.com/api/docs/models/gpt-5.5","TRUE","Official model page confirms gpt-5.5 and xhigh reasoning. Baseline uses short-context price because workloads are below 272K input tokens; billable output includes reasoning tokens.","gpt-5.5","EXACT","SUPPORTED_CONFIG","READY","USD","5.00","30.00","0.50","NA","NA","NA",">272K input tokens","10.0000","45.0000","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"claude_fable_5_max","Claude Fable 5 (max, with fallback)","claude-fable-5 base model with benchmark fallback","Anthropic","2026-08-17","10.0000","50.0000","1.0000","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://docs.anthropic.com/en/docs/about-claude/pricing","FALSE","Official base SKU price is recorded but benchmark configuration includes fallback. Local records do not expose fallback target or token trace so formal configuration cost remains special-case unresolved.","claude-fable-5","EXACT","FALLBACK_DEPENDENT","SPECIAL_CASE","USD","10.00","50.00","1.00","NA","NA","NA","NA","NA","NA","TRUE","REVIEWED_PARTIAL_COST","FALSE","TRUE","FALSE","TRUE","TRUE"
"claude_opus_4_8_max","Claude Opus 4.8 (max)","claude-opus-4-8 effort=max","Anthropic","2026-08-17","5.0000","25.0000","0.5000","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://docs.anthropic.com/en/docs/about-claude/pricing","TRUE","Official docs list Claude Opus 4.8 API ID and base pricing. No separate max-effort price SKU was found; effort should be explicit in requests.","claude-opus-4-8","EXACT","SUPPORTED_CONFIG","READY","USD","5.00","25.00","0.50","NA","NA","NA","NA","NA","NA","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"gemini_3_1_pro_high","Gemini-3.1-Pro (High)","gemini-3.1-pro-preview thinking_level=high","Google DeepMind","2026-08-17","2.0000","12.0000","0.2000","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://ai.google.dev/gemini-api/docs/pricing","TRUE","Official Gemini 3.1 Pro Preview pricing uses <=200K and >200K input tiers. Baseline Research input is 16K so <=200K tier applies. Output price includes thinking tokens.","gemini-3.1-pro-preview","EXACT","SUPPORTED_CONFIG","READY","USD","2.00","12.00","0.20","NA","NA","NA",">200K input tokens","4.0000","18.0000","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"deepseek_v4_pro_max","DeepSeek-V4-Pro Max","DeepSeek-V4-Pro-0813 thinking mode","DeepSeek","2026-08-17","1.3200","3.9600","0.0440","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://api-docs.deepseek.com/quick_start/pricing","TRUE","Official deepseek-v4-pro pricing uses peak and off-peak tiers. Baseline records peak cache-miss input and output prices; off-peak is stored as secondary tier metadata.","deepseek-v4-pro","EXACT","SUPPORTED_CONFIG","READY","USD","1.32","3.96","0.044","NA","NA","NA","peak vs off-peak time tier","0.6600","1.9800","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"deepseek_v4_flash_max","DeepSeek-V4-Flash Max","DeepSeek-V4-Flash-0731 thinking mode","DeepSeek","2026-08-17","0.4400","1.3200","0.0140","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://api-docs.deepseek.com/quick_start/pricing","TRUE","Official deepseek-v4-flash pricing uses peak and off-peak tiers. Baseline records peak cache-miss input and output prices; off-peak is stored as secondary tier metadata.","deepseek-v4-flash","EXACT","SUPPORTED_CONFIG","READY","USD","0.44","1.32","0.014","NA","NA","NA","peak vs off-peak time tier","0.2200","0.6600","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"qwen3_8_max","Qwen3.8-Max","qwen3.8-max thinking or non-thinking mode","Alibaba Qwen","2026-08-17","1.7805","5.3415","NA","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://help.aliyun.com/zh/model-studio/model-pricing","TRUE","Official qwen3.8-max CNY pricing converted with USD/CNY 6.73967410 on 2026-08-17. Cache and batch discounts are not used in baseline; output_tokens mean billable output tokens.","qwen3.8-max","EXACT","SUPPORTED_CONFIG","READY","CNY","12.00","36.00","NA","6.73967410","2026-08-17","https://www.floatrates.com/daily/usd.json","0<Token<=1M input range","NA","NA","FALSE","VERIFIED_FULL_PRICE","TRUE","TRUE","TRUE","TRUE","TRUE"
"glm_5_2_max","GLM-5.2 (max)","glm-5.2 reasoning_effort=max","Zhipu AI / Z.ai","2026-08-17","NA","NA","NA","USD / 1M billable tokens","standard realtime API","official_pricing_audit","https://docs.bigmodel.cn/cn/guide/models/text/glm-5.2.md","FALSE","Official docs confirm model identity and max reasoning example. Public official standard input/output API price was not observable; PRICE_NOT_PUBLICLY_OBSERVABLE.","glm-5.2","EXACT","SUPPORTED_CONFIG","MISSING","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","FALSE","REVIEWED_MISSING_PUBLIC_PRICE","FALSE","FALSE","FALSE","TRUE","TRUE"
