"relative_path","sha256","file_size","description","source_stage"
"Q3_FREEZE_README.md","d3964d9ce772b4a82d4d39134c6d7e4c57c2a07de335bdf39f12c6f7be440450","1210","Freeze metadata and provenance","FREEZE_METADATA"
"budget_switch_points_final.csv","f30ffad4847441d26cdaca7385182a45b35ae97137abcef3771cd4c3c825138d","1404","Final budget threshold transitions","Q3_FINAL_OUTPUT"
"cost_performance_fit_final.csv","77556538e214ef10e6bdf1654c89f498713e856a945a6bbca8cc237a6852d5e5","4252","Final cost-performance fit diagnostics","Q3_FINAL_OUTPUT"
"icer_results_final.csv","1b15828d8f7d60a59ee7766d0350083726560927f73cf2e1f67a3d1306772588","1132","Final incremental cost-effectiveness results","Q3_FINAL_OUTPUT"
"model_pricing.csv","80271ffb6ab482ec2d0fbe4987514bff87c3242a90f1a76e050543c0d1dc6bdc","7171","Human-reviewed pricing records","Q3_INPUT"
"pareto_probability_final.csv","f4a700ef33d480895b93f59fc55c3389e97e173f097022492fd5abcf7082458f","948","Final bootstrap Pareto probabilities","Q3_FINAL_OUTPUT"
"pareto_results_final.csv","fd8eb2f44a2bfd0dbbed61a4a1e0dfe17c674c7c2b122bd0ff2847ce7b8e3139","2694","Final strict FULL-cohort Pareto results","Q3_FINAL_OUTPUT"
"pricing_audit.csv","d08bd97a3b848cfcb5409d9e8cb77465051315fe3f7630176b283d100ac33e02","8242","Pricing SKU/configuration audit with review status","Q3_INPUT"
"pricing_human_check.csv","7bc7f2fd5c4c466a3ae812859f53d6c1c794ce582c11e5d36d9d1b57d0ba3b44","3485","Human review checklist","Q3_INPUT"
"q2_interface_provenance.json","d77324cc531b0383d3c9ed7d4339454213c0f0e7a00239aa35f184dcfdfe0ead","2506","Q2-to-Q3 source and hash provenance","Q2_FREEZE"
"q3_model_analysis_cohort.csv","0d1684278999da564aea51c8752fdee92d65e87225d14dad9cba523301e7b60d","1515","Final FULL/PARTIAL/MISSING cohort","Q3_FINAL_OUTPUT"
"scenario_costs_final.csv","5a66a75526eba698ac4181b47203eee124306c03377f56b262b037c38e80a377","5688","Final all-model scenario cost table","Q3_FINAL_OUTPUT"
"scenario_utility.csv","82bc63f0d1983775bf9a512ad8e50d011c0d556cbdd56329ed8f74267de84ca1","9395","Frozen Q2 nominal scenario utility","Q2_FREEZE"
"scenario_utility_bootstrap.csv","1eea0558c3df5e46c9b3135a7810f4ef6dbb2258f96e4bef4ae4e84e8c64b323","10693696","Frozen Q2 bootstrap scenario utility","Q2_FREEZE"
"sensitivity_summary_final.csv","1ff82f7d49a74dfd8401a4901fd97ac96dad9f059fdad53940ee5ebe68393488","1750","Final sensitivity summary","Q3_FINAL_OUTPUT"
"workload_config.csv","4ff34bac62395918763ffe5c7511415eb0ab1216b7c8e2be0afdcc3cb7ff9e95","4634","Frozen Q3 workload baselines and sensitivity configuration","Q3_INPUT"
