source_id,publisher,source_title,source_type,url,publication_date,access_date,authority_level,benchmark_related,models_covered,local_archive_path,notes
SRC001,Moonshot AI,Kimi K3 README / Technical Release,Vendor official GitHub / model technical release,https://github.com/MoonshotAI/Kimi-K3,2026-07-23,2026-08-16,B,DeepSWE; FrontierSWE; GPQA Diamond; HLE-Full; MMMU-Pro; MathVision; ProgramBench; SciCode; Terminal-Bench,"Claude Fable 5 (max, with fallback); Claude Opus 4.8 (max); GLM-5.2 (max); GPT-5.5 (xhigh); GPT-5.6 Sol (max); Kimi K3 (max reasoning)",sources/structured/SRC001_kimi_k3_readme.md,Numeric source represented in RawData.
SRC002,OpenAI,Previewing GPT-5.6 Sol / GPT-5.6 page,Vendor official web page,https://openai.com/index/gpt-5-6/,Unknown,2026-08-16,B,Model identity,GPT-5.6 Sol,UNAVAILABLE: Cloudflare challenge blocked local archival,No numeric row selected in earlier phases.
SRC003,DeepSeek,DeepSeek-V4: Towards Highly Efficient Million-Token Context Intelligence,Vendor technical report / arXiv HTML,https://arxiv.org/html/2606.19348v1,2026-06-23,2026-08-16,B,CorpusQA 1M; GPQA Diamond; HLE; HMMT 2026 Feb; LiveCodeBench; MCPAtlas Public; MMLU-Pro; MRCR 1M; SWE Pro; SWE Verified; SimpleQA-Verified; Terminal-Bench; Toolathlon,DeepSeek-V4-Flash Max; DeepSeek-V4-Pro Max; Gemini-3.1-Pro (High),sources/html/SRC003_deepseek_v4_arxiv.html,Numeric source represented in RawData.
SRC004,Alibaba Qwen,Qwen3 Technical Report,Vendor technical report / arXiv HTML,https://arxiv.org/html/2505.09388v1,2025-05-14,2026-08-16,B,EvalPlus; GPQA; MATH; MBPP; MMLU; MMLU-Pro; MMLU-Redux; RULER,Qwen3-235B-A22B (Base / report setting),sources/html/SRC004_qwen3_arxiv.html,Numeric source represented in RawData.
SRC005,Alibaba Qwen,Qwen3.8 official blog page,Vendor official web page,https://qwen.ai/blog?id=qwen3.8,2026-08-10,2026-08-16,B,Model identity,Qwen3.8-Max,UNAVAILABLE: dynamic page,No numeric row selected in earlier phases.
SRC006,LiveBench,LiveBench official table release 2026-06-25,Independent unified benchmark platform / official CSV,https://livebench.ai/table_2026_06_25.csv,2026-06-25,2026-08-16,A,LiveBench AMPS_Hard; LiveBench code_completion; LiveBench code_generation; LiveBench javascript; LiveBench logic_with_navigation; LiveBench math_comp; LiveBench olympiad; LiveBench python; LiveBench typescript; LiveBench zebra_puzzle,"Claude Fable 5 (max, with fallback); Claude Opus 4.8 (max); DeepSeek-V4-Flash Max; DeepSeek-V4-Pro Max; GLM-5.2 (max); GPT-5.5 (xhigh); GPT-5.6 Sol (max); Gemini-3.1-Pro (High); Kimi K3 (max reasoning); Qwen3.8-Max",sources/structured/SRC006_livebench_table_2026_06_25.csv,Numeric source represented in RawData.
SRC007,OpenRouter,OpenRouter GPQA Diamond benchmark page,Independent unified endpoint benchmark page,https://openrouter.ai/benchmarks/gpqa-diamond,2026-08-15,2026-08-16,C,GPQA Diamond,"Claude Fable 5 (max, with fallback); Claude Opus 4.8 (max); DeepSeek-V4-Flash Max; DeepSeek-V4-Pro Max; GLM-5.2 (max); GPT-5.5 (xhigh); Gemini-3.1-Pro (High); Kimi K3 (max reasoning)",sources/html/SRC007_openrouter_gpqa_diamond.html,Numeric source represented in RawData.
SRC008,BenchLM,BenchLM LiveBench mirror page,Supplementary mirror,https://benchlm.ai/benchmarks/livebench,2026-06-25,2026-08-16,C,LiveBench metadata,LiveBench models,sources/html/SRC008_benchlm_livebench_mirror.html,Metadata only; official CSV is primary.
SRC009,Artificial Analysis,Kimi K3 Intelligence Index article,Independent platform article,https://artificialanalysis.ai/articles/kimi-k3-achieves-3-in-the-artificial-analysis-intelligence-index-comparable-to-opus-4-8-and-gpt-5-5,2026-07-23,2026-08-16,C,External validation,Kimi K3 and peers,sources/html/SRC009_artificial_analysis_kimi_k3.html,Composite score excluded from modeling matrix.
SRC010,Google DeepMind,Gemini 3.1 Pro evaluation overview,Vendor official evaluation PDF,https://storage.googleapis.com/deepmind-media/gemini/gemini_v3_1_report.pdf,Unknown,2026-08-16,B,HLE; GPQA Diamond; MMMU-Pro; MRCR v2,Gemini 3.1 Pro; Claude; GPT comparison rows,sources/pdf/SRC010_gemini_3_1_pro_evaluation.pdf,"Archived official PDF; used as protocol context and supplementary cross-source evidence, not silently merged with independent-platform settings."
