model_id,model,scene,scene_label,prior,alpha,rho,ces_utility,linear_utility,imbalance_penalty,pri,ces_rank,linear_rank,rank_ces_minus_linear,inner_share_C1,marginal_utility_C1,elasticity_C1,inner_share_C2,marginal_utility_C2,elasticity_C2,inner_share_C3,marginal_utility_C3,elasticity_C3,inner_share_C5,marginal_utility_C5,elasticity_C5,inner_share_C4,marginal_utility_C4,elasticity_C4
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,科研长文本分析,q1,0.675,-0.5,0.9183374822531004,0.9221673961009231,0.003829913847822719,0.004153165535906204,1,1,0,0.34100312124692705,0.3352604833731412,0.3410027561736399,0.31144710556318245,0.28601326476464384,0.31144679411638837,0.3475497731898904,0.38296766558960443,0.34754935616709315,,,,,,
kimi_k3_max,Kimi K3 (max reasoning),research,科研长文本分析,q1,0.675,-0.5,0.9012926282950031,0.9035633301862835,0.0022707018912804244,0.002513052284683005,2,2,0,0.3307601242562528,0.3059473836101996,0.33075978480225743,0.33459984257034187,0.35465858328892436,0.33459944907041506,0.3346400331734054,0.34185722513008815,0.3346396538768103,,,,,,
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,科研长文本分析,q1,0.675,-0.5,0.8992413504614967,0.9017668199862298,0.0025254695247330927,0.0028005793390930675,3,3,0,0.3302977194072789,0.3046660272070609,0.3302973806038787,0.327678479558209,0.3331018444735809,0.3276781091328006,0.3420238010345121,0.3649892443626686,0.34202339514876823,,,,,,
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,科研长文本分析,q1,0.675,-0.5,0.8861624515886894,0.8901612920010735,0.003998840412384075,0.004492264995475957,4,4,0,0.32608959594848586,0.29316905848159236,0.3260892651185597,0.3367159000362686,0.36142996195367183,0.33671549217655705,0.3371945040152456,0.34974582698226714,0.3371941093406277,,,,,,
claude_opus_4_8_max,Claude Opus 4.8 (max),research,科研长文本分析,q1,0.675,-0.5,0.8794135287469893,0.8853284991039079,0.00591497035691857,0.006681102396348308,5,6,-1,0.3225096410603086,0.283619057880713,0.32250931855099,0.33083663866689583,0.3428262570670617,0.3308362488318001,0.3466537202727955,0.38001319390872157,0.34665328815163576,,,,,,
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,科研长文本分析,q1,0.675,-0.5,0.8777936799153787,0.8882251476065814,0.010431467691202734,0.011744170629835746,6,5,1,0.33572629363862416,0.3199361926037951,0.33572592916095717,0.3540746530707078,0.42025974524643317,0.3540741743024563,0.310199053290668,0.2722904962037859,0.3101987430919249,,,,,,
qwen3_8_max,Qwen3.8-Max,research,科研长文本分析,q1,0.675,-0.5,0.8397485755751156,0.845147565172623,0.005398989597507398,0.006388221205375707,7,7,0,0.3231002575013149,0.2851800998592226,0.32309991789954823,0.3404278438054231,0.37351538955139396,0.3404273990111116,0.336471898693262,0.3475021339343937,0.3364714848763839,,,,,,
glm_5_2_max,GLM-5.2 (max),research,科研长文本分析,q1,0.675,-0.5,0.8335860041360706,0.8369509594190824,0.003364955283011728,0.004020492772177839,8,9,-1,0.32889754416752964,0.3008078713232806,0.32889718330749856,0.33997814968440665,0.3720371389114966,0.3399777033751631,0.33112430614806365,0.33119537471361077,0.3311239088340815,,,,,,
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,科研长文本分析,q1,0.675,-0.5,0.8281204723179951,0.8423028570277962,0.014182384709801044,0.01683763101534039,9,8,1,0.31379090505006874,0.2612331935867583,0.31379058959694045,0.32325386520939053,0.31978968971666916,0.3232534790461444,0.36295522974054084,0.4361845259856808,0.3629547030242712,,,,,,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,科研长文本分析,q1,0.675,-0.5,0.8272893300307572,0.8287911617194743,0.0015018316887170924,0.0018120749328471072,10,10,0,0.3340121353772159,0.31506056114725883,0.3340117545424224,0.3352285259253091,0.3566614576384099,0.3352280948047268,0.33075933869747504,0.33010144398939945,0.33075893968175946,,,,,,
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,大众日常通用对话,q1,0.625,0.0,0.932418708623976,0.9343069685862607,0.0018882599622846996,0.0020210273772675647,1,1,0,0.2416766442915314,0.2412500228124237,0.24167638555581472,0.38332335570846826,0.3574175108975881,0.3833229723854959,0.09999999999999998,0.11188033714694283,0.09999988001062599,0.2750000000000004,0.29149985724925964,0.27499968737236374,,,
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,大众日常通用对话,q1,0.625,0.0,0.932145427852394,0.933962650860898,0.0018172230085040653,0.0019457127186285287,2,2,0,0.2416766442915314,0.23107903278169467,0.241676396391337,0.38332335570846826,0.40392599517845124,0.3833229223790938,0.09999999999999998,0.11061936015658445,0.09999988132821674,0.2750000000000004,0.25633973631967244,0.2749997250002755,,,
kimi_k3_max,Kimi K3 (max reasoning),dialogue,大众日常通用对话,q1,0.625,0.0,0.8687069582921643,0.8709152336318428,0.0022082753396784893,0.0025355801051609363,3,3,0,0.2416766442915314,0.2154645171512279,0.2416763962625326,0.38332335570846826,0.3916133652349992,0.38332290490815923,0.09999999999999998,0.09846329153247711,0.09999988665534376,0.2750000000000004,0.2969225283928102,0.27499965820173855,,,
gemini_3_1_pro_high,Gemini-3.1-Pro (High),dialogue,大众日常通用对话,q1,0.625,0.0,0.8661586954130576,0.8705614183801403,0.004402722967082773,0.005057337568755286,4,4,0,0.2416766442915314,0.21043919824308907,0.24167640133466983,0.38332335570846826,0.39663401939293846,0.3833228977854323,0.09999999999999998,0.12569590946075976,0.09999985488120117,0.2750000000000004,0.27250604955439,0.27499968538554115,,,
qwen3_8_max,Qwen3.8-Max,dialogue,大众日常通用对话,q1,0.625,0.0,0.8383797086565321,0.8414881360354695,0.0031084273789373507,0.0036939645918030242,5,7,-2,0.2416766442915314,0.21296492288209554,0.24167639027187815,0.38332335570846826,0.4198945040988777,0.38332285486797824,0.09999999999999998,0.10310985108919497,0.09999987701294526,0.2750000000000004,0.26767234940101553,0.2749996807265893,,,
claude_opus_4_8_max,Claude Opus 4.8 (max),dialogue,大众日常通用对话,q1,0.625,0.0,0.8383394649502275,0.8444511285915771,0.0061116636413496295,0.007237439129891394,6,5,1,0.2416766442915314,0.20260686605946285,0.24167640261512882,0.38332335570846826,0.3786627002467565,0.3833229040266424,0.09999999999999998,0.10450319746797843,0.09999987534501015,0.2750000000000004,0.3214273010308564,0.2749996165905172,,,
gpt_5_5_xhigh,GPT-5.5 (xhigh),dialogue,大众日常通用对话,q1,0.625,0.0,0.837174749199171,0.8419768212943635,0.004802072095192456,0.005703330511890189,7,6,1,0.2416766442915314,0.2052667698799188,0.24167639910165906,0.38332335570846826,0.388712570383397,0.38332289139373504,0.09999999999999998,0.09798843703713371,0.09999988295342502,0.2750000000000004,0.3136266160740519,0.27499962537496975,,,
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,dialogue,大众日常通用对话,q1,0.625,0.0,0.6542860728359404,0.7023497167624497,0.0480636439265093,0.06843263801409846,8,8,0,0.2416766442915314,0.17166743760162237,0.24167638191786223,0.38332335570846826,0.3391278545726612,0.3833228373910706,0.09999999999999998,0.06542854185505217,0.09999990000009998,0.2750000000000004,0.5140804455698238,0.2749992142879596,,,
glm_5_2_max,GLM-5.2 (max),dialogue,大众日常通用对话,q1,0.625,0.0,0.6481379677469584,0.691858941666474,0.04372097391951557,0.06319347960467965,9,9,0,0.2416766442915314,0.17186217218544128,0.24167637912858655,0.38332335570846826,0.3261501781984021,0.3833228524974323,0.09999999999999998,0.07776966901090712,0.09999988001062599,0.2750000000000004,0.5092498053731671,0.2749992142879596,,,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,dialogue,大众日常通用对话,q1,0.625,0.0,0.6468756848029605,0.689168814280134,0.04229312947717345,0.061368315862275945,10,10,0,0.2416766442915314,0.17825014104064965,0.24167636873604947,0.38332335570846826,0.3188922010110647,0.38332286273553934,0.09999999999999998,0.07803666716115368,0.09999987936373401,0.2750000000000004,0.5082580144651427,0.2749992142879596,,,
kimi_k3_max,Kimi K3 (max reasoning),coding,计算机代码开发,q1,0.65,-0.4,0.9813020054113565,0.9813195098757044,1.7504464347894988e-05,1.7837680971116263e-05,1,1,0,0.35099120173089776,0.35348150446512966,0.35099084151406085,,,,,,,,,,0.6490087982691023,0.6465374017527836,0.6490081394124013
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",coding,计算机代码开发,q1,0.65,-0.4,0.9762038301568621,0.9769233024074161,0.0007194722505540208,0.0007364674880628163,2,2,0,0.35623199913870474,0.3723018013471601,0.3562316177615888,,,,,,,,,,0.6437680008612953,0.6284481597250628,0.6437673570939382
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,coding,计算机代码开发,q1,0.65,-0.4,0.9610626303156368,0.9617181231868319,0.0006554928711951513,0.0006815852331274093,3,3,0,0.3559942204161746,0.37143275916329704,0.3559938339348493,,,,,,,,,,0.6440057795838253,0.6292609558200799,0.644005124828416
gpt_5_6_sol_max,GPT-5.6 Sol (max),coding,计算机代码开发,q1,0.65,-0.4,0.9512731717446156,0.9514872667357596,0.00021409499114399821,0.00022501088414823232,4,4,0,0.34658280953287407,0.33818508656227053,0.34658245402501725,,,,,,,,,,0.653417190467126,0.6620389698457546,0.653416494516699
gemini_3_1_pro_high,Gemini-3.1-Pro (High),coding,计算机代码开发,q1,0.65,-0.4,0.9259813234950288,0.9277563052621833,0.0017749817671545154,0.0019131982796418794,5,5,0,0.34011573933084105,0.3166091370578685,0.3401153974134296,,,,,,,,,,0.659884260669159,0.6852575084374005,0.6598835206353255
