analysis,parameter,scenario,model_id,cost,utility,pareto
input_scale,0.5,Coding,kimi_k3_max,0.0979275,0.9813020054113564,True
input_scale,0.5,Coding,gpt_5_6_sol_max,0.195,0.9512731717446156,False
input_scale,0.5,Coding,gpt_5_5_xhigh,0.195,0.9025140728523974,False
input_scale,0.5,Coding,claude_opus_4_8_max,0.16499999999999998,0.9163907203396128,False
input_scale,0.5,Coding,gemini_3_1_pro_high,0.078,0.9259813234950288,False
input_scale,0.5,Coding,deepseek_v4_pro_max,0.02772,0.9610626303156368,True
input_scale,0.5,Coding,deepseek_v4_flash_max,0.00924,0.8155773752485842,True
input_scale,0.5,Coding,qwen3_8_max,0.0373905,0.925700177687948,False
input_scale,0.5,General,kimi_k3_max,0.017805,0.8687069582921643,True
input_scale,0.5,General,gpt_5_6_sol_max,0.034999999999999996,0.932145427852394,True
input_scale,0.5,General,gpt_5_5_xhigh,0.034999999999999996,0.837174749199171,False
input_scale,0.5,General,claude_opus_4_8_max,0.030000000000000002,0.8383394649502275,False
input_scale,0.5,General,gemini_3_1_pro_high,0.014,0.8661586954130576,True
input_scale,0.5,General,deepseek_v4_pro_max,0.00528,0.6542860728359404,True
input_scale,0.5,General,deepseek_v4_flash_max,0.00176,0.6468756848029605,True
input_scale,0.5,General,qwen3_8_max,0.007122,0.8383797086565321,True
input_scale,0.5,Research,kimi_k3_max,0.08309,0.9012926282950032,True
input_scale,0.5,Research,gpt_5_6_sol_max,0.16,0.8992413504614967,False
input_scale,0.5,Research,gpt_5_5_xhigh,0.16,0.8861624515886894,False
input_scale,0.5,Research,claude_opus_4_8_max,0.14,0.8794135287469893,False
input_scale,0.5,Research,gemini_3_1_pro_high,0.064,0.8281204723179951,False
input_scale,0.5,Research,deepseek_v4_pro_max,0.0264,0.8777936799153787,True
input_scale,0.5,Research,deepseek_v4_flash_max,0.0088,0.8272893300307572,True
input_scale,0.5,Research,qwen3_8_max,0.03561,0.8397485755751156,False
input_scale_budget,0.5,Coding,NO_FEASIBLE_MODEL,,,
input_scale_budget,0.5,Coding,deepseek_v4_flash_max,0.00924,0.8155773752485842,
input_scale_budget,0.5,Coding,deepseek_v4_pro_max,0.02772,0.9610626303156368,
input_scale_budget,0.5,Coding,deepseek_v4_pro_max,0.02772,0.9610626303156368,
input_scale_budget,0.5,Coding,deepseek_v4_pro_max,0.02772,0.9610626303156368,
input_scale_budget,0.5,Coding,kimi_k3_max,0.0979275,0.9813020054113564,
input_scale_budget,0.5,Coding,kimi_k3_max,0.0979275,0.9813020054113564,
