model_id,model,scene,scene_label,prior,alpha,rho,ces_utility,linear_utility,imbalance_penalty,pri,ces_rank,linear_rank,rank_ces_minus_linear,inner_share_C1,marginal_utility_C1,elasticity_C1,inner_share_C2,marginal_utility_C2,elasticity_C2,inner_share_C3,marginal_utility_C3,elasticity_C3,inner_share_C5,marginal_utility_C5,elasticity_C5,inner_share_C4,marginal_utility_C4,elasticity_C4
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",research,科研长文本分析,equal,0.675,-0.5,0.9176528496582188,0.9215220390091361,0.0038691893509172903,0.0041986943199726675,1,1,0,0.3345213414140479,0.32864266927722174,0.33452098328006574,0.311330989973957,0.28569348444303155,0.31133067864327835,0.3541476686119951,0.38994700787302056,0.35414724367242445,,,,,,
kimi_k3_max,Kimi K3 (max reasoning),research,科研长文本分析,equal,0.675,-0.5,0.9007270074479822,0.9029727030627553,0.002245695614773169,0.0024870027711314945,2,2,0,0.32449219207569163,0.29996129115486975,0.32449185905437816,0.3344948343063679,0.3543247780309761,0.334494440929934,0.3410129736179406,0.3481489872185802,0.341012587097958,,,,,,
gpt_5_6_sol_max,GPT-5.6 Sol (max),research,科研长文本分析,equal,0.675,-0.5,0.8984046854091762,0.900919033534379,0.002514348125202792,0.0027908702465068353,3,3,0,0.3239894484390275,0.29856923817807346,0.323989116106346,0.3275260060695478,0.33263706963302725,0.3275256358165036,0.34848454549142466,0.371537795131462,0.34848413193860023,,,,,,
gpt_5_5_xhigh,GPT-5.5 (xhigh),research,科研长文本分析,equal,0.675,-0.5,0.885364621566608,0.8893194294977443,0.003954807931136339,0.004447004979268105,4,4,0,0.31986651190508963,0.2873153200763625,0.31986618738871175,0.33656428982829506,0.3609419677485714,0.336563882152227,0.3435691982666153,0.3560369690339946,0.3435687961306361,,,,,,
deepseek_v4_pro_max,DeepSeek-V4-Pro Max,research,科研长文本分析,equal,0.675,-0.5,0.8782361250723765,0.888730895883034,0.010494770810657528,0.011808716068355011,5,5,0,0.3295506721039633,0.31420932199078677,0.3295503143307939,0.3541638761326766,0.4205775283233068,0.3541633972437806,0.3162854517633601,0.2777730318003876,0.3162851354782246,,,,,,
claude_opus_4_8_max,Claude Opus 4.8 (max),research,科研长文本分析,equal,0.675,-0.5,0.8781829898368916,0.8840604426489109,0.005877452812019346,0.006648247708503651,6,6,0,0.31627587284485176,0.2777478138803505,0.3162755565692951,0.33060509238253694,0.3421069479606614,0.33060470282027943,0.35311903477261125,0.3865590247860561,0.3531185945921144,,,,,,
qwen3_8_max,Qwen3.8-Max,research,科研长文本分析,equal,0.675,-0.5,0.8389225381643213,0.8442607927433574,0.005338254579036139,0.006322992403437226,7,7,0,0.3169210011703323,0.27945090352863516,0.31692066806341146,0.3402603678902834,0.37296439999307024,0.3402599233147916,0.3428186309393842,0.35370864902193566,0.342818209316847,,,,,,
glm_5_2_max,GLM-5.2 (max),research,科研长文本分析,equal,0.675,-0.5,0.8331184349699773,0.8364507567975432,0.0033323218275659316,0.0039838828532167804,8,9,-1,0.32267566795583447,0.29495184266592206,0.3226753139223257,0.3398827872403726,0.3717241621487192,0.3398823410563169,0.33744154480379296,0.3373246532773532,0.3374411399097957,,,,,,
deepseek_v4_flash_max,DeepSeek-V4-Flash Max,research,科研长文本分析,equal,0.675,-0.5,0.8269946282063205,0.8284826890107986,0.001488060804478053,0.0017961278180172783,9,10,-1,0.32772705897734417,0.30902197398461184,0.3277266853086848,0.33516881207775884,0.3564708965784176,0.33516838103397156,0.33710412894489705,0.3363137678312078,0.33710372227506347,,,,,,
gemini_3_1_pro_high,Gemini-3.1-Pro (High),research,科研长文本分析,equal,0.675,-0.5,0.8261719211496746,0.8403433287250741,0.014171407575399475,0.01686383064038791,10,8,2,0.3075786797776987,0.2554589636031989,0.30757837056970333,0.32287333624276704,0.31866166565619153,0.3228729505341058,0.36954798397953426,0.4430624482868454,0.3695474476959389,,,,,,
gpt_5_6_sol_max,GPT-5.6 Sol (max),dialogue,大众日常通用对话,equal,0.625,0.0,0.9246294733969864,0.9265902980394001,0.00196082464241365,0.0021161722139359943,1,1,0,0.3124999999722691,0.29638753837621634,0.3124996794249073,0.31250000002773093,0.3266409297499909,0.3124996467608936,0.18750000262464797,0.20573893120243947,0.1874997801150513,0.187499997375352,0.17336785046725758,0.18749980987554213,,,
claude_fable_5_max,"Claude Fable 5 (max, with fallback)",dialogue,大众日常通用对话,equal,0.625,0.0,0.9235519502954299,0.9255919031344004,0.0020399528389705157,0.00220394412706342,2,2,0,0.3124999999722691,0.30898191002930137,0.31249966541403457,0.31250000002773093,0.2886096958832369,0.3124996875280434,0.18750000262464797,0.20778079109433226,0.1874997776445686,0.187499997375352,0.19685990420902771,0.18749978422014818,,,
kimi_k3_max,Kimi K3 (max reasoning),dialogue,大众日常通用对话,equal,0.625,0.0,0.8842310113953751,0.8865008308346192,0.002269819439244092,0.002560425619801294,3,3,0,0.3124999999722691,0.2835851871462157,0.3124996792583567,0.31250000002773093,0.3249635778043237,0.3124996325179132,0.18750000262464797,0.18791786512000436,0.1874997901034146,0.187499997375352,0.2060649671792522,0.1874997643310858,,,
